ordinal,arc_id,end_sequence,source_lines,result,paid_reward_before,paid_reward_after,ending_hook_before,ending_hook_after,closed_loops_after,opened_loops_after,pacing_result,evidence_note,batch_status
"059","DCA-N34B","399","L69891~L70053","EDIT","정권·중국·바이오 세 갈취판 중 가장 큰 신약 기회가 열린다.","박만덕 은퇴·한정훈 부회장 취임, 중국시장 600억 달러 투입과 카노스발 헤지펀드 20곳 파산 확인이 지급된다. 청와대 200억 원 납부와 폐기신약 취득은 아직 전이다.","로보가 폐기하려는 신약을 태우가 헐값에 확보할 수 있는가?","천민정이 로보가 폐기하려는 신약 후보를 태우가 살릴 수 있다고 보고한다.","박만덕 은퇴·한정훈 취임; 중국시장 600억 달러 투입; 카노스발 헤지펀드 20곳 파산 확인","청와대 200억 원 요구 대응; 로보 폐기신약 권리계약; 중국 공매도","EDIT_NOTE;R7_TO_8;KEEP_T7_H7_RIBBON","L69891~L70053: 은퇴·취임식은 이틀 전 완료됐고 중국에 600억 달러가 들어갔으며 헤지펀드 20곳이 파산했다. 200억 원은 분할제안, 신약은 마지막 보고다.","ENDPOINT_AUDIT_88_OF_131"
"060","DCA-N34C","401","L70216~L70406","EDIT","바이오 독점과 국가급 금융작전이 동시에 실행된다.","10억 달러 지급조건의 폐기신약 전 권리·연구자료 계약과 인슐린 로열티 철폐가 지급된다. 중국 공매도는 개시됐지만 수익은 아직 없다.","중국 하루 증발자금을 얼마나 포집할지가 남는다.","중국 공매도 D-DAY가 시작되고 하루에 증발할 자금을 얼마나 포집할지 남는다.","폐기신약 전 권리·연구자료 계약; 인슐린 로열티 철폐","폐기신약 개발·상용화; 중국 공매도 수익","EDIT_NOTE;KEEP_T7_R9_H7_RIBBON","L70216~L70406: 로보와 10억 달러·전 권리·연구자료·인슐린 로열티 철폐 계약에 당일 서명한다. 중국 공매도는 마지막에 시작되지만 아직 수익 전이다.","ENDPOINT_AUDIT_88_OF_131"
"061","DCA-N35","410","L71797~L71965","EDIT","태우는 단기 주가 대신 팬데믹 기술·거시수익을 선택한다.","메르스 치료제 공식 판매개시, 다음 달 미국 FDA 허가 전망과 당뇨 신약 우선심사 약속이 지급된다. FDA 승인과 브렉시트 수익은 아직 없다.","2~3월 브렉시트 작전 공개가 예정된다.","2~3월에 공개할 브렉시트 작전이 다음 금융승부로 남는다.","메르스 치료제 공식 판매개시; 당뇨 신약 우선심사 약속; 중국 금융시장 안정","메르스 미국 FDA 승인; 당뇨 신약 승인·생산; 브렉시트 작전","EDIT_NOTE;R6_TO_7;KEEP_T5_H6_RIBBON","L71797~L71965: 메르스 치료제는 공식 판매를 시작하고 당뇨 신약 우선심사 약속을 얻는다. 미국 FDA는 다음 달 전망이고 브렉시트는 준비단계다.","ENDPOINT_AUDIT_88_OF_131"
"062","DCA-N36","414","L72491~L72663","EDIT","태우는 글로벌 신약 생산동맹과 사우디 차기권력을 확보한다.","삼진바이오 주가 네 배·흑자와 무상 공장지원 제안, 국민경제당 지지율 1위, 빈 살만의 부왕 동의 확보가 지급된다. FDA 승인·공장증설·왕세자 교체·숙청은 아직 전이다.","김민재는 숙청 뒤에는 돌아오지 못할 빈 살만의 옛 모습을 기억하며 그와 밤새 이야기하기로 한다.","숙청 뒤에는 예전처럼 돌아오기 어려운 두 사람이 친구로 밤새 이야기를 나눈다.","삼진바이오 흑자·무상 공장지원 제안; 국민경제당 지지율 1위; 빈 살만의 부왕 동의","당뇨 신약 FDA 승인·증설; 빈 살만 왕세자 교체·숙청","EDIT_NOTE;KEEP_T8_R7_H7_RIBBON","L72491~L72663: 삼진바이오의 네 배 주가·흑자·공장지원 제안과 국민경제당 1위, 빈 살만의 부왕 동의는 확인된다. FDA 승인·공장증설·왕세자 교체·숙청은 미래다.","ENDPOINT_AUDIT_88_OF_131"
"063","DCA-N36B","419","L73360~L73524","KEEP","삼진 승계를 결산하고 ASML 지분 3퍼센트 매매 합의와 추가 매집 지시를 얻는다. 지분 이전·장비 우선권은 실무계약 이후다.","삼진 승계를 결산하고 ASML 지분 3퍼센트 매매 합의와 추가 매집 지시를 얻는다. 지분 이전·장비 우선권은 실무계약 이후다.","최재석이 생각을 정리한 해운업 문제를 다음 날 어떤 조건으로 풀지 남는다.","최재석이 생각을 정리한 해운업 문제를 다음 날 어떤 조건으로 풀지 남는다.","삼진 후계승계; ASML 지분 3퍼센트 매매 합의","ASML 지분 실무계약·이전; 미국·대만 추가지분 매집; 장비 우선권; 해운정책","KEEP_T4_R8_H6_RIBBON_NOTE","L73360~L73524: 승계는 완료되고 ASML 3퍼센트 매매는 구두합의다. 실무팀 계약·지분이전·장비 우선권은 남으며 마지막은 최재석의 다음 날 해운면담이다.","ENDPOINT_AUDIT_88_OF_131"
"064","DCA-N36C","426","L74534~L74703","KEEP","김민재와 최재석의 압박이 대통령의 전국 생중계 자진 사퇴 약속을 끌어낸다.","김민재와 최재석의 압박이 대통령의 전국 생중계 자진 사퇴 약속을 끌어낸다.","모든 책임을 지고 물러나겠다는 대통령의 한 문장이 실제 하야와 대선 시계를 어떻게 움직일지 남는다.","모든 책임을 지고 물러나겠다는 대통령의 한 문장이 실제 하야와 대선 시계를 어떻게 움직일지 남는다.","범서북파 폭로·하야 압박","조기대선·브렉시트 거래","KEEP_T10_R10_H10_RIBBON_NOTE","L74534~L74703: 대통령이 전국 생중계로 모든 책임을 지고 물러나겠다고 직접 말한다. 실제 사퇴절차·조기대선은 남아 현재 지급과 훅이 정확히 분리돼 있다.","ENDPOINT_AUDIT_88_OF_131"
"065","DCA-N37","430","L75209~L75383","EDIT","선거용 해운빅딜이 태우의 장기 글로벌 유통망으로 결산된다.","1조6천억 원 채무탕감, 현재해운 매각계약 서명, 잔여부채 일시상환과 현진·현재해운의 태우상사 편입이 지급된다.","대한타이어 주성재 회장이 승계 문제로 면담을 청한다.","대한타이어 주성재 회장이 승계 문제로 면담을 청한다.","현재해운 1조6천억 원 탕감·매각서명·잔여부채 상환; 현진·현재해운 편입","대한타이어 승계; 해운 카르텔 대응","EDIT_NOTE;R8_TO_9;KEEP_T7_H7_RIBBON","L75209~L75383: 부채 20퍼센트 1조6천억 원 탕감 뒤 계약서에 도장 찍고 잔여부채를 즉시 갚아 두 해운사를 편입한다. 마지막은 주성재의 승계면담 요청이다.","ENDPOINT_AUDIT_88_OF_131"
"066","DCA-N37B","435","L76118~L76286","EDIT","권력교체 세 건이 금융·외교 자산으로 결산되고 다음 세계분쟁으로 넘어간다.","브렉시트 통과, 빈 살만의 왕세자 등극·500명 이상 숙청·1천억 달러 초과 자산회수가 지급된다. 파운드 공략의 최종수익은 아직 남는다.","숙청을 마친 빈 살만의 위엄과 김민재를 향한 더 깊은 신뢰가 사우디를 미중전쟁의 확실한 아군으로 만든다.","숙청을 마친 빈 살만의 위엄과 김민재를 향한 깊어진 신뢰가 다음 미중전쟁의 사우디 동맹을 연다.","브렉시트 투표 통과; 빈 살만 왕세자 등극·숙청·자산회수","파운드 공략 최종수익; 미중 무역전쟁; 사우디 장기사업동맹","EDIT_NOTE;R8_TO_9;KEEP_T7_H5_RIBBON","L76118~L76286: 브렉시트는 통과했고 빈 살만은 왕세자 등극·500명 이상 숙청·1천억 달러 초과 회수까지 마쳤다. 파운드 공략 수익은 미결이며 마지막은 변화한 친구와의 재회다.","ENDPOINT_AUDIT_88_OF_131"
"067","DCA-N38","440","L76962~L77140","EDIT","태우해운의 세계 4위 규모와 반도체 도시 1구역의 선매입·7천억 원 차익·빠른 착공 기반을 확인한다. 미국 주도 해운동맹과 연구진 영입은 아직 진행 중이다.","로보와의 무조건 상호소송 취하·유고빈 권리확정, 태우해운 약 280만 TEU·세계 4위, 반도체도시 1구역 7천억 원 차익과 2·3구역 10조 원 이상 투자·착공 2년 단축이 지급된다. 미국 해운동맹은 아직 추진 중이다.","명동이 2·3구역과 주변 토지를 더 확보하되 기존 주민의 사연을 해치지 않고 반도체 도시를 확장할 수 있는가?","김민재가 이영한에게 명동 방식으로 더 큰 수익을 낼 다음 토지사업을 약속한다.","로보 상호소송 취하·유고빈 권리확정; 태우해운 세계 4위 확인; 반도체도시 토지차익·착공단축","미국 주도 해운동맹; 반도체도시 추가부지; 이영한·명동의 다음 투자","EDIT_NOTE;R5_TO_7;KEEP_T7_H7_RIBBON","L76962~L77140: 조건 없는 소송취하와 유고빈 권리, 약 280만 TEU·세계 4위, 7천억 원 차익·10조 원 이상 투자·2년 단축이 모두 현재 수치다. 마지막은 이영한에게 준 다음 투자 약속이다.","ENDPOINT_AUDIT_88_OF_131"
"068","DCA-N38B","446","L78036~L78215","EDIT","내부 침투 피해가 중국 경쟁사의 자멸을 유도하는 공격자산이 된다.","정영근의 50억 원 초과 채무·불법도박·할머니 계좌 6억 원 확인, 좀비폰과 내부문서 확보, 역정보·전 직원 배경조사 지시가 지급된다. 조작정보 전송과 중국 경쟁사 피해는 미지급이다.","한 달 뒤 트럼프 취임식에서 해운 동맹 문제를 실제 규제 카드로 바꿀 수 있는가?","연말 태우상사의 적자와 한 달 뒤 트럼프 취임이 해운동맹·규제전의 다음 무대로 남는다.","정영근 채무·도박·가족계좌 확인; 좀비폰·문서 확보","조작정보·악성코드 역공; 전 직원 배경조사; 미국 해운규제·트럼프 취임","EDIT_SCORE_NOTE;R5_TO_6;H8_TO_7;KEEP_T8_RIBBON","L78036~L78215: 50억 원 넘는 빚·도박과 할머니 계좌 6억 원, 좀비폰 문서를 확보한다. 역정보·악성코드는 지시일 뿐 전송·중국 피해 전이며 끝은 상사 적자와 트럼프 취임이다.","ENDPOINT_AUDIT_88_OF_131"
"069","DCA-N38C","450","L78739~L78912","EDIT","회귀 초반의 기술동맹이 세계기업의 보호자 지위로 완성된다.","애플 신사옥 완공·스티브의 경영복귀 약속, 태우 주도 미국 해운동맹 성립이 지급된다. 알트코인 매집과 다섯 배 수익은 계획이다.","금융타워 금융사들이 아직 폭발 전인 알트코인 시장에 올라타 최소 다섯 배 차익 항로를 실제 열 수 있는가?","금융타워가 아직 폭발 전인 알트코인 시장에서 최소 다섯 배 수익을 만들 수 있는가?","애플 신사옥 완공·스티브 경영복귀 약속; 미국 해운동맹 성립","알트코인 매집·운용; 미중 분쟁","EDIT_NOTE;R7_TO_8;KEEP_T3_H7_RIBBON","L78739~L78912: 완공된 애플 신사옥에서 스티브가 복귀를 수락하고 미국 우선 해운동맹의 성립도 확인한다. 알트코인 다섯 배는 지시·목표다.","ENDPOINT_AUDIT_88_OF_131"
"070","DCA-N39","455","L79657~L79845","EDIT","즉석 구출전이 장기 지정학 보험으로 안정화된다.","장남 구출, 칭화 부패자료 1천억 원 이상 확인·중국 언론과 SNS 공개, 1초 AI 통역과 레벨3 고속도로 시험 무오류 성공이 지급된다.","사우디 정부가 예고한 빈 살만의 방한이 숙청 뒤 우애와 장기 사업동맹을 어떻게 이어갈 것인가?","사우디가 빈 살만의 한국 방문을 공식 예고한다.","장남 구출; 칭화 부패자료 확인·공개; AI 통역·레벨3 자율주행 시험성공","중국 내 부패폭로 반응; 빈 살만 방한·사우디 동맹","EDIT_SCORE_NOTE_RIBBON;R7_TO_8;KEEP_T7_H7","L79657~L79845: 장남은 안전하고 칭화 자료 1천억 원 이상을 실제 중국 언론·SNS에 흘린다. 1초 통역·레벨3 무오류 시험도 완료되며 끝은 빈 살만 방한예고다.","ENDPOINT_AUDIT_88_OF_131"
"071","DCA-N40","462","L80891~L81043","EDIT","국내 3사 중 하나였던 통신사가 국제망 가격을 정할 상위사업자가 된다.","태우통신 국제망 1티어 확정, 글로벌 동맹과 10조 원 규모 해저케이블 발표, 태우 부담 약 1조 원의 사업구조가 지급된다.","국제유가가 한 달 새 약 10달러 빠진 가운데 곧 50달러를 회복할 시점과 코로나기의 재폭락 가능성이 함께 열린다.","한 달 사이 약 10달러 내린 국제유가가 다음 에너지 매입·공매도 기회를 연다.","국제망 1티어 진입; 10조 원 해저케이블 동맹 발표","해저케이블 구축; 망사용료 재협상; 유가 하락 뒤 에너지 투자","EDIT_NOTE;KEEP_T5_R8_H7_RIBBON","L80891~L81043: 국제망 1티어와 AT&T·손정우·구글·아마존·페이스북의 10조 원 케이블 발표, 태우 부담 약 1조 원이 현재 확정된다. 마지막은 유가 약 10달러 하락이다.","ENDPOINT_AUDIT_88_OF_131"
"072","DCA-N41","465","L81390~L81551","EDIT","지분 참여 전략이 에너지·금융·신기술 브랜드 전반의 선점 방식으로 굳어진다.","가이아나 펀드 70퍼센트 지배 확인, 이더리움 8달러→200달러 근접 수익과 암호화폐 매도개시, 메타버스의 AI센터 공식사업 승인이 지급된다.","수익성을 장담할 수 없어도 인재·기업·VR 기기를 동원해 태우를 메타버스 선두주자로 보이게 만들기로 한다.","수익을 장담할 수 없는 메타버스에 인재·기업·VR기기를 투입해 선두 이미지를 만들 수 있는가?","가이아나 70퍼센트 확인; 이더리움 열 배 이상 상승·매도개시; 메타버스 공식사업 승인","암호화폐 완전청산; 메타버스 인재·특허·기업·VR 인수","EDIT_NOTE;KEEP_T5_R8_H6_RIBBON","L81390~L81551: 가이아나 70퍼센트와 이더리움 8달러→200달러 근접, 매도개시가 실제다. 메타버스는 공식사업·인수권 승인까지이며 제품은 없다.","ENDPOINT_AUDIT_88_OF_131"
"073","DCA-N41B","470","L82249~L82431","EDIT","중러 철수 대비가 현금회수·생산연속성·경쟁사 부담 전가로 완성된다.","러시아 공장 임대계약 체결·5조 원 수령·도요타 2년 임대와 로만의 크렘린 오해해소 약속이 지급된다. 신규 러시아 공장은 시간을 벌기 위한 계획이다.","방한한 러시아 측이 철수 의혹을 묻자 더 큰 신규공장을 약속한다.","로만이 신규공장 설명을 받아들이고 크렘린의 오해를 직접 풀겠다고 약속한다.","러시아 공장 임대계약·5조 원 수령; 도요타 2년 임대; 로만 해명수락","러시아 리콜·철수 일정; 신규공장 위장계획; 일본 품질공격","EDIT_NOTE;KEEP_T8_R9_H6_RIBBON","L82249~L82431: 계약서 서명과 5조 원 수령·도요타 2년 임대가 완료된다. 로만도 설명을 수용해 크렘린 오해를 풀겠다고 하고 신규공장은 시간벌기 계획이다.","ENDPOINT_AUDIT_88_OF_131"
"074","DCA-N41C","477","L83506~L83688","EDIT","복수작전이 경쟁사 약화와 자사 시스템 신뢰라는 이중 이익으로 결산된다.","일본 자동차업계 공개사과·생산중단·리콜, 태우차 리콜 마무리와 주가상승이 지급된다. 소송배상과 도시바 거래는 미지급이다.","도시바가 러시아 공장 계약을 파기하고 싶다고 연락하자 김민재는 직접 만날 일정을 잡으라고 지시한다.","도시바가 러시아 공장계약을 파기하고 싶다고 연락하자 김민재가 직접 만날 일정을 잡으라고 지시한다.","일본차 품질폭로·사과·생산중단·리콜; 태우차 공정공개·리콜 마무리","일본차 배상·주가후속; 도시바 면담·계약파기 조건·자산매각","EDIT_NOTE;KEEP_T8_R8_H7_RIBBON","L83506~L83688: 하루오 사과·생산중단·리콜과 태우차 공정공개·리콜마무리·주가상승이 발생한다. 법적배상은 없고 마지막은 도시바 면담지시다.","ENDPOINT_AUDIT_88_OF_131"
"075","DCA-N41D","481","L84192~L84351","EDIT","단순 인수가 공급망 전반의 옵션·담보·연료 확보로 확장된다.","도시바메모리·웨스팅하우스 4조5500억 엔 인수계약 체결과 잔여지분 45퍼센트 담보의 2조 엔 대출이 지급된다. 잔여지분 이전과 카메코 지분취득은 아직 전이다.","카메코 지분을 3년 동안 조용히 모아 러시아 전쟁 뒤 원전과 우라늄 부활을 함께 맞을 준비를 한다.","카메코 지분을 3년 동안 조용히 모아 원전·우라늄 부활에 대비하라는 지시가 남는다.","도시바메모리·웨스팅하우스 인수계약; 잔여지분 담보 2조 엔 대출","도시바 잔여 45퍼센트 채무불이행·이전; 카메코 지분 3년 매집","EDIT_NOTE;KEEP_T8_R10_H7_RIBBON","L84192~L84351: 합계 4조5500억 엔 인수계약과 잔여 45퍼센트 담보 2조 엔 대출은 서명됐다. 카메코는 3년 매집 지시일 뿐 취득분이 없다.","ENDPOINT_AUDIT_88_OF_131"
"076","DCA-N42","488","L85415~L85589","KEEP","35억 달러 채권↔엔비디아 3% 교환을 완료하고 태우증권 8% 이상·핀테크 포함 약 10% 보유를 확인한다. 뱅가드·피델리티 각 7% 협상길을 얻지만 통제권은 아직 없다.","35억 달러 채권↔엔비디아 3% 교환을 완료하고 태우증권 8% 이상·핀테크 포함 약 10% 보유를 확인한다. 뱅가드·피델리티 각 7% 협상길을 얻지만 통제권은 아직 없다.","미중 무역분쟁은 김민재가 20년 동안 기다린 마지막 초대형 기회이고, 반드시 잡아야 한다.","미중 무역분쟁은 김민재가 20년 동안 기다린 마지막 초대형 기회이고, 반드시 잡아야 한다.","손정우 35억 달러 대출계약과 엔비디아 3% 교환","뱅가드·피델리티 각 7% 협상; 엔비디아 25%·40%·최종 50% 목표","KEEP_T6_R8_H8_RIBBON_NOTE","L85415~L85589: 3퍼센트 교환과 실제 약 10퍼센트 보유를 확인하고 25·40·50퍼센트는 협상·목표로 남긴다. 기존 override의 통제권은 아직 없다는 부정이 정확하다.","ENDPOINT_AUDIT_88_OF_131"
"077","DCA-N42B","495","L86652~L86827","KEEP","중국 금융시장 5년 무제한 활동권과 5년 뒤 청나라 채권 양도 조건의 정치적 수락·말합의를 얻는다. 금융타워 전체 세부계약은 미지급이다.","중국 금융시장 5년 무제한 활동권과 5년 뒤 청나라 채권 양도 조건의 정치적 수락·말합의를 얻는다. 금융타워 전체 세부계약은 미지급이다.","데이비드가 니콜라가 조작을 넘어선 사기라고 보고한다.","데이비드가 니콜라가 조작을 넘어선 사기라고 보고한다.","중국의 5년 금융활동 허용·5년 뒤 채권양도 말합의","금융타워 각 사 세부조건·계약 체결; 중국 내 실제 금융활동 실행; 니콜라 폭로","KEEP_T9_R8_H7_RIBBON_NOTE","L86652~L86827: 리강의 5년 권한·채권양도 말수락은 현재 지급이고 담당자별 세부계약은 미래형이다. 마지막 니콜라 사기보고까지 기존 override가 시점을 나눈다.","ENDPOINT_AUDIT_88_OF_131"
"078","DCA-N43","505","L88347~L88514","KEEP","다이먼·데이비드에게 비테라 인수를 맡기고 머스크에게 농업위성 구축 약속을 받는다.","다이먼·데이비드에게 비테라 인수를 맡기고 머스크에게 농업위성 구축 약속을 받는다.","식량 대란이 오기 전에 비테라 계약과 위성망을 실제로 완성할 시간이 흐르기 시작한다.","식량 대란이 오기 전에 비테라 계약과 위성망을 실제로 완성할 시간이 흐르기 시작한다.","비테라 인수 추진과 농업위성의 기술·비용 가능성 확인.","비테라 소유권, 위성 발사, 세계 곡물기업과의 힘겨루기.","KEEP_T5_R5_H7_RIBBON_NOTE","L88347~L88514: 다이먼·데이비드에게 비테라 인수를 맡기고 머스크가 대가를 받으면 이듬해 농업위성망을 만들 수 있다고 약속한다. 소유권·발사는 미지급이고 현재 행이 정확하다.","ENDPOINT_AUDIT_88_OF_131"
"079","DCA-N43B","510","L89194~L89363","EDIT","리강의 철회 압박을 증거로 물리치고 미국·일본·EU 취업까지 막는 블랙리스트 추진에 들어간다.","리강의 단계적 대응 수락과 기술보호법 철회저지, 중국의 한국 기술자 700명 이상 해고 확인이 지급된다. 국제 블랙리스트와 곡물기업 인수는 아직 계획이다.","김민재의 미국행 목적이 비테라 인수와 곡물 메이저 ABC 협상으로 구체화된다.","김민재의 미국행 목표가 비테라 인수와 곡물 메이저 협상으로 구체화된다.","리강의 단계적 대응 수락; 기술보호법 철회저지; 중국의 700명 이상 해고 확인","해고 기술자 보호·국제 블랙리스트; 비테라 인수; 곡물 메이저 협상","EDIT_NOTE;KEEP_T8_R8_H7_RIBBON","L89194~L89363: 리강은 단계대응을 받아들이고 중국은 한국 기술자 700명 이상을 실제 해고한다. 국제 블랙리스트는 추진 전이며 끝은 미국 곡물협상 준비다.","ENDPOINT_AUDIT_88_OF_131"
"080","DCA-N43C","512","L89523~L89696","EDIT","비테라 인수와 태우 곡물회사 전환, 세계 농업 인프라 임차 조건이 확정된다.","비테라 인수 확인·태우곡물회사 전환, 일부 5년 곡물·농장 계약과 아마존 창고임대 합의가 지급된다. 연 1천억 달러 전량계약은 아직 진행 중이다.","태우반도체를 대체 불가능한 공급자로 만들 해외 팹·첨단칩 투자가 다음 과제로 열린다.","태우반도체를 대체 불가능한 공급자로 만들 해외 구형팹·첨단칩 투자가 다음 과제로 열린다.","비테라 인수·태우곡물회사 전환; 일부 5년 곡물·농장 계약; 아마존 창고임대 합의","연 1천억 달러 곡물계약 완성; 해외 반도체 생산지도·첨단칩 투자","EDIT_NOTE;KEEP_T5_R8_H6_RIBBON","L89523~L89696: 비테라는 이미 인수됐고 일부 5년 계약과 아마존 창고임대가 성립한다. 다음 반기 500억·내년 1천억 달러 전체집행은 계획이다.","ENDPOINT_AUDIT_88_OF_131"
"081","DCA-N43D","516","L90197~L90378","KEEP","ASML 5년 장기계약 10조 원 이상과 중국행 구형장비 일부, 베트남·인도 정부협상 및 수배 지출 회고, 김태중의 푹 수상 면담 주선, 28GHz·스타링크 구축명령을 확인한다. 베트남 단지·곡물/농지 계약은 계획·협상 단계다.","ASML 5년 장기계약 10조 원 이상과 중국행 구형장비 일부, 베트남·인도 정부협상 및 수배 지출 회고, 김태중의 푹 수상 면담 주선, 28GHz·스타링크 구축명령을 확인한다. 베트남 단지·곡물/농지 계약은 계획·협상 단계다.","해외팹 협상과 장비계약 뒤 28GHz 전국망·스타링크 협업을 실제 통신·자율주행 기반으로 구축할 수 있는가?","해외팹 협상과 장비계약 뒤 28GHz 전국망·스타링크 협업을 실제 통신·자율주행 기반으로 구축할 수 있는가?","ASML 5년 계약과 구형장비 일부 확보; 베트남·인도 정부협상 순방; 28GHz 유지·스타링크 보완 결정","베트남 반도체단지·곡물·농지 계약; 인도 팹·밀 계약; 28GHz 전국망·스타링크 협업","KEEP_T5_R8_H7_RIBBON_NOTE","L90197~L90378: 5년·10조 원 초과 ASML 계약과 중국행 구형장비 일부, 베트남·인도 협상·지출 회고는 현재 사실이다. 단지·곡물·농지는 계획이고 기존 override가 정확하다.","ENDPOINT_AUDIT_88_OF_131"
"082","DCA-N44","540","L94314~L94486","EDIT","대화그룹의 소재 국산화 공로가 인정되고 HBM·양자·AI 무제한 투자방침이 확정된다.","폴리이미드 국산화 성공과 생산계획의 공식발표, 저가 AI 공개버전·양자컴퓨터·초전도체 공동프로젝트의 담당·투자승인이 지급된다. 미래기술 성과는 아직 없다.","예상한 팬데믹 수익을 실제로 확보해 HBM·양자·AI 무제한 투자의 위험과 시간을 감당할 수 있는가?","저가 AI 공개버전과 양자컴퓨터·초전도체 공동프로젝트가 실제 제품·기술로 이어질 수 있는가?","폴리이미드 국산화 성공·생산계획 발표; 미래기술 프로젝트 승인","저가 AI 공개; 양자컴퓨터·초전도체 연구성과·투자집행","EDIT_NOTE;KEEP_T7_R8_H7_RIBBON","L94314~L94486: 폴리이미드 국산화·생산계획을 공식 발표하고 저가 AI·양자·초전도체 프로젝트를 승인한다. 우한 질병·팬데믹 수익은 이 원문 범위에 없어 제거한다.","ENDPOINT_AUDIT_88_OF_131"
"083","DCA-N45","555","L96945~L97147","EDIT","약 300명이 안전하게 한국에 도착하고 최재석 정부·태우병원의 국제이미지가 상승한다.","약 300명 한국 도착·전원검사, 미국인 양성 16명의 음압병동 치료와 한국인 확진 0명이 지급된다. 거리두기 정착과 백신완성은 남는다.","구조 뒤 최재석에게 약속한 석 달 안 백신과 사회적 거리두기 준비를 실제 방역체계로 만들 수 있는가?","사회적 거리두기를 준비하고 석 달 안 백신의 좋은 소식을 만들 수 있는가?","다이아 프린스 약 300명 구조·한국 도착; 전원검사; 미국인 16명 치료·한국인 확진 0명","사회적 거리두기; 센트리언 백신완성·승인","EDIT_NOTE;KEEP_T9_R9_H7_RIBBON","L96945~L97147: 약 300명을 데려와 하루 전수검사하고 미국인 16명 양성치료·한국인 0명을 확인한다. 거리두기·백신은 다음 실행이다.","ENDPOINT_AUDIT_88_OF_131"
"084","DCA-N45B","565","L98761~L98946","EDIT","바이든의 조건부 의무화 약속을 받고 주 후원선이 전환되며 트럼프 관계도 보존된다.","바이든의 조건부 의무접종 약속, FDA 정식심사·이달 승인 가능성 발표, 센트리언 주가 약 10퍼센트 상승과 공매도 청산 수십조 원 수익이 지급된다. 실제 FDA 승인은 아직 전이다.","바이든을 주 경주마로 바꾸고 트럼프선을 유지한 이중 안전망을 국내 사장단 회의와 백신정책의 실제 실행으로 연결할 수 있는가?","김민재가 이번 주 안에 태우 사장단 전체회의를 열라고 지시한다.","바이든 조건부 의무접종 약속; FDA 정식심사 발표; 주가상승·공매도 청산수익","FDA 실제 승인; 미국 의무접종; 국내 사장단회의·산업투자","EDIT_SCORE_NOTE_RIBBON;R8_TO_9;KEEP_T6_H6","L98761~L98946: 바이든 약속 뒤 FDA 정식심사 발표·이달 승인 가능성, 주가 약 10퍼센트 상승과 공매도 청산 수십조 원 수익이 나온다. 실제 승인은 다음이며 끝은 사장단회의 지시다.","ENDPOINT_AUDIT_88_OF_131"
"085","DCA-N46","570","L99634~L99819","KEEP","일본 내각의 방역물자·G7 비반대·20조 엔 자산거래 수락과 센트리언 백신 FDA 승인을 얻는다. 자산 인수 집행은 남는다.","일본 내각의 방역물자·G7 비반대·20조 엔 자산거래 수락과 센트리언 백신 FDA 승인을 얻는다. 자산 인수 집행은 남는다.","유일한 대량생산자가 백신 가격·배송·국가별 대가를 어떻게 설계할지가 열린다.","유일한 대량생산자가 백신 가격·배송·국가별 대가를 어떻게 설계할지가 열린다.","일본 의료협상 수락; 센트리언 백신 FDA 승인","20조 엔 자산 인수 집행; 한국 승인·세계배송; 국가별 가격·정치거래","KEEP_T8_R9_H7_RIBBON_NOTE","L99634~L99819: 일본은 G7 비반대·20조 엔 자산거래를 수락하고 센트리언은 FDA 승인을 받는다. 자산 인수집행과 백신 가격·배송은 남아 기존 행이 정확하다.","ENDPOINT_AUDIT_88_OF_131"
"086","DCA-N47","577","L100880~L101041","EDIT","EU 1달러 위탁생산 계약과 유럽·아프리카 공급, 향후 정책협력 약속이 성립한다.","EU의 회원국 제약사 설득·태우의 아프리카 지도자 설득이라는 구두 역할합의, 센트리언 수십 배 수익과 나스닥 32퍼센트 상승 확인이 지급된다. 위탁생산 계약과 백신공급은 미지급이다.","양적완화 지원금을 들고 망설이는 개인들을 주식시장으로 밀어 넣을 촉매는 무엇인가?","양적완화 지원금을 들고 망설이는 개인들을 주식시장으로 밀어 넣을 촉매가 필요하다.","EU·태우 백신협상 역할분담; 센트리언·나스닥 상승수익 확인","유럽 위탁생산 계약; 아프리카 백신공급; 개인투자자 유입","EDIT_NOTE;KEEP_T7_R8_H6_RIBBON","L100880~L101041: EU는 회원국 제약사, 태우는 아프리카 지도자 설득을 맡는 구두 틀만 잡는다. 1달러 계약·공급은 없고 센트리언 수십 배·나스닥 32퍼센트가 현재 수익이다.","ENDPOINT_AUDIT_88_OF_131"
