sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
"241","241화","","58816","59060","complete","전쟁기억·혼혈아 교육을 민족주의와 장기 인재망으로 바꾼다","베트남 국민 호감과 차세대 엘리트를 확보한다","36개 소녀·강제노동자상과 사립학교·혼혈아 천 개 학교를 제안한다","박태웅은 민족주의를 돈으로 쓰는 냉혹함에 놀라고 베트남 총리는 연출을 의심한다","백범이 거리의 아메라시안 20만 명을 보고 교육망을 두 번째 한국세력으로 정의한다","베트남 정부의 비공개 관심과 장기 인재 파이프라인","평판|권력","사과 제스처가 감상이 아니라 20년짜리 관계 투자로 구체화된다","총리가 200억 달러 거래를 비공개로 듣는다","하노이 참배","베트남 국가계약","M10","high"
"242","242화","","59061","59252","complete","가난한 아이 교육이 정부·기업을 묶는 장기 영향력 구조로 드러난다","베트남 총리에게 산업국가 전환안을 납득시킨다","학교 졸업생을 태양계 기업·공무원으로 흡수하는 두 회사 구조를 설명한다","총리는 외국 재벌이 세대를 길들이려는 위험을 경계한다","200억 달러가 단순 공장 투자가 아니라 국가 인프라 패키지라는 본론이 열린다","총리와 단독 협상 자리","권력|관계","자선 표면이 인재·정책 네트워크라는 실제 보상으로 갱신된다","대출·무상원조·토지 100년 조건이 제시된다","교육망 구상","독배 계약 조건","M10","high"
"243","243화","","59253","59463","complete","상상을 넘는 현금이 철도·항만·도시·학교·병원·자원권을 한 계약으로 산다","베트남의 경제기반과 해양자원권을 동시에 확보한다","100억 달러 차관과 100억 달러급 지원을 내걸고 10개 산업도시·항만·천 개 기술학교·병원을 요구한다","연 20% 조건과 100년 무상 토지·유전가스권 때문에 관료들이 독배라 부른다","총리와 경제관료가 액수와 국가개조 범위에 말을 잃는다","베트남 전역의 장기 사업권 제안","재산|권력","졸부의 해외투자가 사실상 국가개발 계약으로 커진다","중국 해양분쟁과 국제결혼 문제까지 조건에 붙는다","총리 관심 확보","베트남 독배 수락 여부","M10","high"
"244","244화","","59464","59631","complete","미국 법인 방패와 여성 피해 방지 조건으로 독배의 명분을 만든다","베트남이 장기계약을 받아들일 이유를 완성한다","미래 중국 남중국해 주장에 미국법인 투자가 방패가 된다고 설명하고 결혼매매 대책을 요구한다","베트남은 주권·토지·자원 양보와 고금리 부담을 감수해야 한다","총리가 단순 수탈이 아니라 안보·사회개혁까지 얹힌 계약으로 재평가한다","협정 수락 가능성과 여성보호 명분","평판|권력","노골적 이권 계약이 장기 국가안보 거래로 표면을 바꾼다","박태웅이 조비를 놓고 가족에 집중하라 충고한다","국가계약 설명","부부·조비 관계 정리와 수락","M10","high"
"245","245화","","59632","59807","complete","박태웅의 사적 충고와 베트남 내각의 공적 결단이 같은 회차에서 브레이크를 건다","조비를 놓고 베트남 계약을 확정한다","박태웅 충고를 받아들이며 조비 집착을 접고 내각의 답을 기다린다","일본은 참배·기념상을 반한 감정으로 만들고 베트남 장관들은 독배를 두려워한다","베트남 총리가 국가발전과 혼혈아 구제를 위해 감수하자고 결론낸다","측근과의 관계 정리 및 계약 수락 방향","관계|권력","백범이 모든 것을 움켜쥐는 사람에서 일부 관계를 놓을 줄 아는 사람으로 잠시 갱신된다","공식 조약과 한국 내 반대 여론이 폭발한다","조비 미련","베트남 조약·일본 여론전","M10","high"
"246","246화","","59808","60031","complete","한국 내 친일 여론전을 대통령의 베트남 사과 방문으로 뒤집는다","베트남 조약을 국가 대 국가 약속으로 고정한다","모든 조건을 정식 조약에 넣고 대통령에게 베트남 방문·사과 프레임을 제안한다","국내 시위와 일본 감시망이 참배를 굴욕외교로 공격한다","예전의 명령조 대통령이 백범에게 수고했다고 말하며 조약을 지지한다","정부 공인과 베트남 200억 달러 프로젝트","평판|관계","개인 재벌의 거래가 대통령 외교성과로 승격되고 권력관계도 부드러워진다","다윗연합과의 직접 면담이 잡힌다","베트남 내각 수락","다윗연합·나우루 변수","M10","high"
"247","247화","","60032","60278","complete","국가조약 성공 직후 세계자본 면담과 암살 우려가 보상의 대가를 드러낸다","다윗연합 수장을 만나 자본전쟁 동맹을 얻는다","스미스의 주선으로 워싱턴 면담을 수락하고 박태웅에게 비상대응을 맡긴다","상대는 정체도 규모도 불명확하고 나우루 쿠데타가 계약을 흔든다","대통령의 베트남 방문이 확정되는 동시에 백범은 호랑이굴로 가기로 한다","세계자본 핵심과 직접 협상할 기회","위험|권력","국가급 성공이 곧 신변 위협과 더 큰 적의 관심으로 갱신된다","나우루 원본계약 파기 공모가 드러난다","베트남 조약","다윗연합·나우루 쿠데타","M10","high"
"248","248화","","60279","60496","complete","필리핀 부패정권과 다윗연합의 기업국가 꿈을 동시에 읽는다","필리핀 섬·공항·자원권의 진입구를 만든다","필리핀 대통령의 부패와 퇴진 시점을 조사하고 베트남 합작구조를 복제한다","현지 대통령은 과시용 성과가 필요하고 다윗연합은 나우루 계약 약점을 찾는다","백범이 왕족 후손형 명목과 정부 49% 지분으로 현지 주권 반발을 줄인다","필리핀 협상 설계와 기업국가 경쟁자 정보","권력|능력","해외투자 목표가 공장 소유에서 사실상 통치 가능한 섬으로 이동한다","나우루 재무장관 아들이 이중 쿠데타를 꾸민다","베트남 모델 완성","필리핀 섬·나우루 계약 파기","M10","high"
"249","249화","","60497","60691","complete","나우루 계약 원본을 없애려는 쿠데타가 필리핀 야망과 겹친다","계약을 지키면서 새 섬 거래를 진행한다","필리핀에 공항·카지노·섬 투자 미끼를 던지고 나우루 정변 정보를 추적한다","재무장관 아들과 카심이 소말리아 용병을 이용해 서로 다른 쿠데타를 설계한다","원본계약 파기가 백범 측 공모였다는 단서가 등장한다","필리핀 대통령의 관심과 나우루 적대자의 노출","위험|재산","과거 독소계약이 현재의 쿠데타·평판 위험으로 되돌아온다","백범이 원본 파기를 인정해야 한다","필리핀 진입","쿠데타 공모의 진실","M10","high"
"250","250화","","60692","60935","complete","계약 파기 공모를 숨기지 않고 경제전쟁의 책임으로 인정한다","박태웅의 신뢰를 지키고 필리핀 거래를 전진시킨다","카심에게 원본 파기와 10억 달러·재협상을 약속했음을 박태웅에게 털어놓는다","박태웅은 배신·불법이라 비난하고 필리핀 대통령은 섬 요구를 의심한다","백범이 한국·사하라 생존을 위한 경제전쟁이라 설명하자 박태웅이 완전히 떠나지는 않는다","측근과의 거친 신뢰 유지 및 50억 달러 필리핀 제안","관계|위험","성공담의 어두운 협잡이 드러나며 망나니 표면이 실제 윤리 비용으로 갱신된다","필리핀 대통령이 섬의 진짜 목적을 묻는다","나우루 원본 의혹","필리핀 자치섬·기업국가","M10","high"
