sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_candidate,confidence
"166","ⓚ남자의 길 166화","38. PMC (Private Military Company)","19829","19919","카를로스를 제거해 공격은 줄었지만 콜롬비아 내전은 계속 확대된다.","보복 능력이 국제 석유회사의 유료 군사 서비스로 바뀐다.","원유 판매를 안정시키고 대호가드의 PMC 첫 대형 계약을 잡는다.","셰브론과 3년 구매 계약을 맺고 알렉스의 앙골라 유전 보호·인질 5명 구출안을 협상한다.","낯선 앙골라에서 무장세력과 싸워야 하고 인질 생사는 책임 부담을 키운다.","월 150만달러와 공격 건당 50만달러, 구출비 선금 200만·성공 300만달러 조건이 성립한다.","대호가드가 국내 경비회사를 넘어 해외 PMC로 진입할 계약을 얻는다.","진로·사업","내전 속 자산 방어 경험이 강혁의 새 직업·사업 축으로 공식화된다.","검증된 병력이 부족해 북한 특수부대를 빌려야 한다.","콜롬비아 자산 방어와 셰브론 판매","북한 병력 임차·앙골라 인질 구출","M10 보고타 함락을 예견하고 내전 속 파이프라인을 지키며 PMC 기회를 얻다","high"
"167","ⓚ남자의 길 167화","","19920","20054","앙골라 계약은 잡았지만 대호가드에는 즉시 투입할 정예 병력이 부족하다.","평양 인맥이 해외 PMC의 실전 병력으로 연결된다.","김정일에게 해상저격여단 50명 파견을 승인받는다.","문성철을 통해 병사당 5000달러 임대안을 올리고 다시 평양으로 들어가 김정일을 설득한다.","국가 정예부대를 민간 기업에 내주는 결정은 북한 체면과 보안에 민감하다.","외화 수입과 실전 경험을 이유로 김정일이 파견을 허락한다.","북한 정예 50명을 합법 사업 외피 아래 쓸 수 있게 된다.","동맹·능력","남북 중재 인맥이 대호가드 PMC의 독특한 전력 공급망으로 바뀐다.","북한군과 한국 인력을 한 지휘체계로 묶어 앙골라에 투입해야 한다.","앙골라 병력 조달","대호가드 PMC 창설과 인질 시한","M11 북한 특수부대와 대호가드 PMC를 세워 앙골라 인질·시추선을 지키다","high"
"168","ⓚ남자의 길 168화","","20055","20153","김정일은 북한군 50명 파견을 승인했고 앙골라 인질에게 남은 시간은 나흘이다.","서로 다른 출신 전력이 대호가드 PMC라는 이름으로 출전한다.","지휘체계를 만들고 루안다에서 인질 위치를 확정한다.","고동현과 한국군 출신 10명을 더해 PMC를 구성하고 루안다에 도착해 셰브론·발크와 정보를 맞춘다.","북한군은 위장 신분으로 움직여야 하고 CIA 지원도 비공식이라 실패 시 보호가 없다.","발크가 반군 위치를 찾아내며 작전 시간이 구체화된다.","대호가드의 첫 다국적 실전 부대와 목표 좌표를 확보한다.","조직·작전","병력 임차 계약이 실제 PMC 조직과 앙골라 구출전으로 전환된다.","우이게 광산의 300명과 발칸포를 돌파해야 한다.","PMC 편성·앙골라 진입","우이게 광산 인질 구출","M11 북한 특수부대와 대호가드 PMC를 세워 앙골라 인질·시추선을 지키다","high"
"169","ⓚ남자의 길 169화","","20154","20284","대호가드 PMC는 우이게 광산으로 향하지만 적은 300명과 발칸포를 갖췄다.","북한 지휘관의 과거가 이경식과 맞물리고 난공불락 진지가 드러난다.","내부 관계를 정리하고 발칸포를 무력화할 침투로를 찾는다.","이석철의 신원을 확인해 그가 이경식의 탈북 전 지휘관임을 알고 절벽·화력 배치를 정찰한다.","과거 상하관계의 긴장과 20mm 발칸포가 정면 공격을 막는다.","강혁은 정면 숫자 싸움 대신 자신·피케·이경식이 절벽으로 올라 화기를 빼앗는 방식을 택한다.","북한군과 탈북자 사이에 과거를 잇는 신뢰의 단서와 기습 계획이 생긴다.","관계·작전","서먹한 혼성부대가 이경식·이석철의 전우 관계를 매개로 하나의 팀이 되기 시작한다.","세 사람이 절벽을 올라 발칸포를 점거해야 한다.","적 규모·화력 정찰","절벽 침투와 발칸포 탈취","M11 북한 특수부대와 대호가드 PMC를 세워 앙골라 인질·시추선을 지키다","high"
"170","ⓚ남자의 길 170화","","20285","20418","우이게 광산 정면에는 300명과 발칸포가 있어 공격이 불가능하다.","세 사람의 절벽 침투가 적의 최강 화기를 아군 포문으로 뒤집는다.","발칸포를 빼앗아 본대를 진입시키고 인질 5명을 찾는다.","강혁·피케·이경식이 절벽을 타고 초소를 제압해 20mm 발칸포를 점거한 뒤 본대와 협공한다.","절벽 추락과 초소 발각 위험, 수적 열세가 크다.","적을 막던 발칸포가 반대로 진지를 쓸어 본대의 진입로를 연다.","우이게 광산을 장악하고 생존한 인질 5명을 발견한다.","능력·구출","혼성 PMC가 첫 실전에서 대형 화기를 역이용해 계약 수행 능력을 입증한다.","반군 증원이 오기 전에 인질과 전원을 빼내야 한다.","발칸포 탈취·광산 진입","인질 철수와 후위 생존","M11 북한 특수부대와 대호가드 PMC를 세워 앙골라 인질·시추선을 지키다","high"
"171","ⓚ남자의 길 171화","","20419","20550","인질 5명을 찾았지만 반군 증원이 몰려오고 발칸포 진지가 후위를 맡는다.","강혁이 이경식을 두고 떠날 수 있는지 다시 시험받는다.","인질을 빼면서 발칸포 진지의 이경식까지 데려온다.","철수를 지휘하다 RPG가 진지를 때리자 이경식을 구하러 돌아가려 하고 부하들이 몸으로 막는다.","시간이 지체되면 인질과 부대 전체가 포위되고 이경식은 가족을 위해 남겠다고 한다.","모두가 죽었다고 본 순간 이경식이 로프를 타고 스스로 귀환한다.","인질과 이경식이 함께 살아나오고 강혁의 부하 불포기 원칙이 확인된다.","의리·생존","보스와 부하가 서로를 버리지 않는 관계가 혼성부대 앞에서 행동으로 증명된다.","60~70명 추격대를 끊고 최종 철수해야 한다.","인질 확보·이경식 후위","추격대 매복과 완전 탈출","M11 북한 특수부대와 대호가드 PMC를 세워 앙골라 인질·시추선을 지키다","high"
"172","ⓚ남자의 길 172화","39. 습격 그리고 격퇴","20551","20682","인질과 이경식은 합류했지만 60~70명 반군이 뒤를 바짝 쫓는다.","도주로의 여섯 발 클레이모어가 구출전을 깔끔한 승리로 닫는다.","추격대를 끊고 계약 인원을 모두 안전지대로 옮긴다.","후퇴로에 클레이모어 6발을 설치해 추격대를 매복 섬멸하고 인질을 이송한다.","지친 부대와 부상자가 있어 한 번 포위되면 다시 싸우기 어렵다.","정면 교전 없이 추격대가 폭발에 무너지며 철수로가 열린다.","첫 인질 구출 계약을 완수하고 시추선 방어 임무로 이어진다.","결산·능력","대호가드 PMC가 구출 실적을 얻고 단발 임무에서 유전 상시 방어 사업으로 이동한다.","앙골라 시추선을 지킬 AH-1W 코브라와 보보프의 공격이 기다린다.","우이게 인질 구출","시추선 방어·코브라 실전","M11 북한 특수부대와 대호가드 PMC를 세워 앙골라 인질·시추선을 지키다","high"
"173","ⓚ남자의 길 173화","","20683","20790","구출전은 성공했고 대호가드는 앙골라 시추선 방어로 배치됐다.","거액의 코브라 헬기가 첫날부터 해상 습격을 맞는다.","보보프의 고속정 공격을 격퇴해 장비 투자의 가치를 증명한다.","4000만달러를 들인 AH-1W 코브라를 배치하고 접근하는 보보프의 무장 보트 다섯 척을 요격한다.","새 장비 운용 경험이 적고 해상에서 한 번 뚫리면 시추선과 인력이 위험하다.","코브라의 압도적 화력이 적 보트를 순식간에 수세로 몰아넣는다.","시추선 방어 전력이 실전에서 작동하고 보보프가 부상한다.","능력·전투","보병 위주 PMC가 공격헬기를 운용하는 중무장 사업자로 올라선다.","남은 보트와 보보프를 끝내고 계약 보상을 받아야 한다.","코브라 배치","보보프 격퇴와 셰브론 보상","M11 북한 특수부대와 대호가드 PMC를 세워 앙골라 인질·시추선을 지키다","high"
"174","ⓚ남자의 길 174화","","20791","20908","코브라가 보보프의 다섯 보트를 몰아붙였지만 교전은 끝나지 않았다.","해상 승리가 현금 보상과 북한 병사들의 마음으로 돌아온다.","공격을 완전히 격퇴하고 성과를 부대 충성으로 분배한다.","코브라로 보트 세 척을 파괴해 보보프를 쫓아내고 셰브론 보너스·구출 잔금을 받은 뒤 북한군 각자에게 1만달러를 준다.","임대한 북한군에게 직접 보상하면 북측 지휘체계와 충돌할 수 있다.","강혁은 돈을 품삯이 아니라 함께 싸운 전우의 몫이라고 규정한다.","50만달러 방어 보너스와 구출 잔금 300만달러, 병사들의 자발적 신뢰를 얻는다.","의리·보상","빌린 병력이 강혁을 단순 고용주가 아니라 몫을 나누는 동료로 받아들인다.","좋은 실적이 추가 유전 계약으로 이어진다.","보보프 해상 공격 격퇴·인질대금","추가 셰브론 유전 방어","M11 북한 특수부대와 대호가드 PMC를 세워 앙골라 인질·시추선을 지키다","high"
"175","ⓚ남자의 길 175화","","20909","21034","인질 구출과 시추선 방어 실적으로 대호가드의 신뢰가 높아졌다.","성공이 세 개 유전 계약으로 번지는 순간 초대형 유조선 납치가 들어온다.","추가 매출을 확보하고 글로벌 뉴욕호를 제한 시간 안에 구할 조건을 세운다.","월 450만달러에 셰브론 유전 세 곳을 더 맡고 앙골라 해군을 사칭한 UNITA가 납치한 30만톤급 유조선 구출을 협상한다.","선원과 선박 손실 없이 다섯 시간 안에 끝내야 하고 적이 해군 장비를 위장했다.","강혁은 성공보수 800만달러 전액 선지급과 무손실 조건을 받아낸다.","대호가드 매출이 확대되고 새 해상 구출 계약의 주도권을 잡는다.","사업·시간압박","시추선 방어의 반복 국면이 다섯 시간짜리 거대 선박 탈환전으로 전환된다.","장비를 급히 구해 헬기로 유조선에 올라타야 한다.","추가 유전 방어 계약","글로벌 뉴욕호 탈환","M11 북한 특수부대와 대호가드 PMC를 세워 앙골라 인질·시추선을 지키다","high"
"176","ⓚ남자의 길 176화","40. 빗발치는 총탄 속에","21035","21155","글로벌 뉴욕호와 선원들이 UNITA에 잡혔고 남은 시간은 다섯 시간뿐이다.","돈과 장비 조달이 곧바로 공중 강습으로 이어진다.","필요한 무장을 확보해 선박에 기습 상륙한다.","무기상 신안에게 160만달러어치 장비를 사고 헬기로 유조선 상공에 접근해 강습을 시작한다.","적은 갑판과 선내를 장악했고 대형 선박 구조 때문에 진입 후 서로 고립될 수 있다.","시간을 줄이기 위해 해상 접근이 아니라 헬기 공중 강습을 선택한다.","선박 상공까지 들키지 않고 접근해 첫 진입 기회를 얻는다.","작전·속도","계약·조달 국면이 총탄이 쏟아지는 수직 진입전으로 급가속한다.","이경식·이석철의 관계와 교량·식당 동시 제압이 남는다.","탈환 장비 조달","유조선 내부 분할 공격","M12 납치된 글로벌 뉴욕호를 다섯 시간 안에 탈환하다","high"
"177","ⓚ남자의 길 177화","","21156","21292","헬기가 글로벌 뉴욕호에 붙었고 혼성부대가 로프 하강을 준비한다.","과거 상관과 부하의 인정이 가장 위험한 진입 직전에 드러난다.","조타실과 식당을 동시에 장악해 선원 살해를 막는다.","이석철이 강혁을 이경식에게 칭찬하며 과거 인연을 확인한 뒤 대원들이 패스트로프로 갑판에 내려 두 조로 갈린다.","바람과 적 사격 속 하강해야 하고 두 목표 중 하나라도 늦으면 인질이 죽는다.","이경식과 이석철이 서로의 변한 처지와 실력을 인정하며 지휘 호흡을 맞춘다.","두 팀이 조타실·식당을 향해 동시에 진입할 위치를 잡는다.","관계·작전","북한군과 탈북자 사이의 옛 위계가 현재의 전우 관계로 재정렬된다.","좁은 선내 총격전과 인질 피해 위험이 임박한다.","공중 진입·혼성팀 결속","조타실·식당 동시 구출","M12 납치된 글로벌 뉴욕호를 다섯 시간 안에 탈환하다","high"
"178","ⓚ남자의 길 178화","","21293","21408","두 팀이 글로벌 뉴욕호 조타실과 식당으로 동시에 파고들었다.","피해를 완전히 막지는 못해도 거대 선박을 되찾고 대가를 받는다.","납치범을 제거하고 생존 인질과 선박을 회수한다.","선내 총격전에서 적을 사살하고 조타실·식당을 확보해 선원들을 구출한다.","인질 한 명이 죽고 강혁도 총탄에 스쳐 완전 무손실 약속은 깨진다.","제한 시간 안에 선박 전체를 되찾아 셰브론이 계약금을 지급한다.","글로벌 뉴욕호와 다수 인질이 생환하고 대호가드의 해상 실적이 완성된다.","구출·비용","승리에는 한 명의 사망과 강혁의 상처가 남아 PMC 성공의 실제 비용을 보여준다.","모스크바에서 일본의 SGL 혼슈 연장 제안이 새 함정으로 등장한다.","글로벌 뉴욕호 탈환","일본 SGL 연장 공작","M12 납치된 글로벌 뉴욕호를 다섯 시간 안에 탈환하다","high"
"179","ⓚ남자의 길 179화","","21409","21531","앙골라 임무를 끝낸 강혁은 모스크바에서 일본의 SGL 혼슈 연장안을 검토한다.","경제 제안 뒤의 전략 함정을 간파하자 실제 총격 보복이 돌아온다.","러시아 관료들을 설득해 연장을 막고 암살 시도에서 살아남는다.","페트로바와 고위 관료들에게 일본 연장이 러시아 이익을 해친다고 설득하고 이동한다.","일본 측 히로시는 크루셰프를 고용해 RPG·AK로 호송대를 습격한다.","정책 로비가 무력 암살 공작과 연결됐음이 드러난다.","SGL 원칙을 지킨 대가로 적의 정체와 살의를 확인한다.","정치·생존","협상전이 모스크바 도로의 대전차 매복전으로 폭발한다.","죽은 경호원과 막힌 차량 속에서 저격수를 피해야 한다.","일본 연장 반대 로비","크루셰프 암살조 탈출","M13 일본의 SGL 연장·암살 공작을 모스크바 농장에서 되갚다","high"
"180","ⓚ남자의 길 180화","41. 농장의 혈투","21532","21669","RPG 피격으로 호송차가 멈추고 운전사와 경호원들이 쓰러졌다.","탄약이 바닥나는 도로 한복판에서 마지막 구조음이 들린다.","피케·이경식과 엄폐하며 매복망을 버틴다.","차량과 도로 구조물을 이용해 AK 사격에 맞서고 트럭으로 빠져나가려다 저격에 다시 막힌다.","운전사와 경호원 다수가 죽고 저격수 때문에 이동할 수 없으며 탄약도 거의 없다.","전멸 직전 멀리서 경찰 사이렌이 들려 암살조의 시간을 끊는다.","즉사 위기를 넘길 외부 개입 가능성이 생긴다.","생존·비용","정책 결정을 둘러싼 싸움이 부하들의 피와 탄약 고갈이라는 직접 비용으로 바뀐다.","경찰 도착 뒤 배후를 확인하고 크루셰프를 선제 타격해야 한다.","첫 암살 매복 버티기","크루셰프·히로시 역습","M13 일본의 SGL 연장·암살 공작을 모스크바 농장에서 되갚다","high"
"181","ⓚ남자의 길 181화","","21670","21782","강혁 일행은 탄약이 바닥난 채 저격수에게 묶였고 경찰 사이렌만 다가온다.","구조 뒤에도 강혁은 겁먹지 않고 원칙과 복수를 함께 밀어붙인다.","부상자를 살리고 일본 연장안을 계속 막으면서 배후를 찾는다.","경찰과 지원병력 덕에 빠져나온 뒤 공개 로비를 이어가고 노브렌스키 저택으로 거처를 옮긴다.","경호원 희생과 재차 암살 위험에도 움직임을 멈추면 일본에 굴복한 모양이 된다.","크루셰프와 히로시는 돈을 더 받고 공항에서 이글라 미사일까지 쓰기로 한다.","강혁은 생존과 정치적 입장을 지키지만 적의 다음 계획이 더 커진다.","의지·추격","수세 생존 뒤 강혁이 다시 공개 행동을 택하며 상대의 과잉 공격을 유도한다.","CIA 정보와 감시를 이용해 암살조를 먼저 찾아야 한다.","도로 매복 탈출","공항 미사일 암살 계획","M13 일본의 SGL 연장·암살 공작을 모스크바 농장에서 되갚다","high"
"182","ⓚ남자의 길 182화","","21783","21908","크루셰프는 공항에서 이글라를 쓸 계획이고 강혁은 노브렌스키 저택에 머문다.","CIA가 위험을 경고해도 강혁은 사업 원칙과 반격을 택한다.","배후를 확인하고 암살조의 은신처를 찾아 선제공격한다.","발크에게 크루셰프 정보를 받고 일본 연장을 받아들이라는 조언을 거절한 뒤 감시조를 풀어 이동 경로를 역추적한다.","계속 반대하면 다시 죽을 수 있고 CIA조차 안전을 보장하지 않는다.","감시가 살인청부업자의 농장 은신처와 히로시 접선을 포착한다.","공격받을 장소와 시간을 적에게서 빼앗아 선제권을 회복한다.","선택·정보","방어·도피가 아니라 농장을 직접 쳐 배후와 실행자를 함께 잡는 국면으로 바뀐다.","히로시가 현금과 이글라 계획을 들고 농장에 올 때를 노린다.","암살 배후 확인","셰레메티예보 농장 습격","M13 일본의 SGL 연장·암살 공작을 모스크바 농장에서 되갚다","high"
"183","ⓚ남자의 길 183화","","21909","22038","크루셰프의 셰레메티예보 농장과 히로시의 접선 시간이 확인됐다.","암살자의 농장이 저격·RPG·기관총이 뒤엉킨 역습 현장이 된다.","히로시와 크루셰프를 한자리에서 잡고 일본 공작 증거를 확보한다.","히로시가 350만유로와 이글라 계획을 가져온 순간 저격수·RPG·RPK를 배치해 농장을 급습한다.","농장은 방어에 유리하고 적도 전문 살인청부업자라 강혁 쪽 피해가 커진다.","돈을 건네는 현장을 직접 덮쳐 일본 측과 암살조의 연결이 물증으로 남는다.","두 핵심 표적을 포위하고 현금·계획을 함께 잡을 기회를 얻는다.","대결·증거","배후를 추정하던 국면이 히로시의 현장 적발과 최종 혈투로 수렴한다.","농장 내부를 뚫고 표적을 사살해야 한다.","농장·접선 포착","히로시·크루셰프 제거","M13 일본의 SGL 연장·암살 공작을 모스크바 농장에서 되갚다","high"
"184","ⓚ남자의 길 184화","42. 사할린 해상유전","22039","22161","강혁 일행은 농장을 포위했지만 크루셰프의 전문 병력과 근거리 교전을 벌인다.","피와 희생을 치른 복수가 일본 연장안 폐기와 새 유전 발견으로 넘어간다.","두 표적을 끝내고 살아나와 SGL 공작을 종결한다.","총상을 입고도 농장을 돌파해 크루셰프와 히로시를 사살하고 350만유로를 회수한다.","강혁은 어깨에 총을 맞고 부하 4명이 죽으며 2명 이상이 다친다.","일본 공작이 드러나 혼슈 연장안이 폐기된 직후 사할린에서 원유 40억배럴·가스 7660억㎥가 발견된다.","암살 위협과 SGL 연장 문제를 닫고 초대형 해상유전이라는 새 성장축을 얻는다.","결산·사업","복수의 피값이 정책 방어로 끝난 뒤 삶의 축이 사할린 생산 준비로 급전환된다.","시추 장비를 구하고 유전을 제때 생산해야 한다.","히로시·크루셰프와 SGL 연장안","사할린 해상유전 장비 조달","M13 일본의 SGL 연장·암살 공작을 모스크바 농장에서 되갚다","high"
"185","ⓚ남자의 길 185화","","22162","22269","사할린 해상유전에서 40억배럴 원유와 대규모 가스가 확인됐다.","발견의 환호 뒤 일본 장비회사의 보복성 취소가 생산 시계를 멈춘다.","채굴권을 확정하고 대체 시추·저장 장비를 찾는다.","발견 사실을 발표해 야쿠보프가 인허가를 서두르게 하고 장비 계약을 점검한다.","JX NOE가 임대를 일방 취소해 생산이 장기 지연될 수 있다.","강혁은 국내 조선소에 발주 취소로 방치된 극지 설비가 있다는 사실을 찾아낸다.","러시아 인허가 가속과 한국산 대체 장비의 실마리를 얻는다.","사업·위기","자원 발견 국면이 일본 보복을 한국 조선업 기회로 돌리는 조달전으로 변한다.","거제 대충조선에서 네 척을 실제로 사야 한다.","사할린 매장량 확인","한국 조선소 장비 매입","M14 사할린 대형 유전을 장비·관계·기부의 결산으로 연결하다","high"
"186","ⓚ남자의 길 186화","","22270","22387","일본 임대가 끊겼고 국내 조선소의 발주 취소 설비가 대안으로 떠올랐다.","가족·연인 관계를 확인한 뒤 거제 현장의 쇳덩어리를 직접 본다.","수영 부모 만남을 약속하고 대충조선 장비의 상태를 검증한다.","가족과 시간을 보내며 수영의 부모 소개 요청을 받아들인 뒤 거제로 내려가 BP가 포기한 극지 장비를 살핀다.","사생활 약속과 수억달러 장비 거래를 동시에 감당해야 하고 조선소 설비는 오래 방치됐다.","방치된 FPSO·드릴십·VLCC들이 사할린 생산에 바로 쓸 수 있는 수준임을 확인한다.","수영과의 관계가 결혼 가능성 쪽으로 진전되고 장비 거래의 물적 근거가 선다.","관계·조달","일본 의존 위기가 한국 조선소를 살리는 거래와 연인의 가족 관계로 함께 이어진다.","네 척의 가격과 자금 출처를 협상해야 한다.","대체 장비 탐색·수영 부모 약속","대충조선 네 척 매입","M14 사할린 대형 유전을 장비·관계·기부의 결산으로 연결하다","high"
"187","ⓚ남자의 길 187화","","22388","22487","대충조선에 사할린용 네 척이 있지만 조선소는 현금이 절실하다.","방치된 선박 네 척이 7억달러 일괄 거래로 움직인다.","빠른 인도와 낮은 가격을 모두 확보해 생산 지연을 막는다.","FPSO를 3억달러, 드릴십과 VLCC 두 척을 합쳐 4억달러에 사기로 하고 지하자금을 세탁해 대금을 치른다.","7억달러 현금 조달과 장비 정비·운송 위험을 떠안아야 한다.","조선소의 유동성 위기 때문에 원가 아래 일괄 매입이 가능해진다.","네 척이 사할린으로 출항하며 일본 장비 봉쇄를 무력화한다.","조달·지위","강혁은 암시장 자금을 대형 산업 설비로 바꾸고 유전 운영자로 한 단계 올라선다.","콜롬비아로 돌아가기 전 수영 부모와 사회적 책임을 마주한다.","사할린 장비 확보","수영 부모 승인·위안부 기부","M14 사할린 대형 유전을 장비·관계·기부의 결산으로 연결하다","high"
"188","ⓚ남자의 길 188화","","22488","22617","사할린 장비는 출항했고 강혁은 수영과 약속한 부모 만남을 앞둔다.","거대한 사업 결산이 결혼 승인과 나눔의 선택으로 낮아진다.","수영 부모의 신뢰를 얻고 일본에서 빼앗은 돈을 의미 있게 쓸 곳을 찾는다.","수영 부모를 만나 교제 승낙을 받고 위안부 피해자 나눔의 집을 방문해 5억원 기부를 시작한다.","강혁의 위험한 삶은 부모에게 불안 요소이고 일본 현금의 용처는 그의 가치관을 드러낸다.","부모가 두 사람 관계를 인정하고 강혁은 복수 전리품을 피해자 지원으로 돌린다.","연인 관계의 가족 승인과 첫 사회 기부 약속을 얻는다.","관계·환원","사업가의 돈이 연인의 미래와 역사 피해자 지원이라는 삶의 진로로 연결된다.","정기 후원과 전사자 가족 보상을 구체화해야 한다.","수영 부모 만남","나눔의 집·VANK·전사자 지원","M14 사할린 대형 유전을 장비·관계·기부의 결산으로 연결하다","high"
"189","ⓚ남자의 길 189화","43. 배신","22618","22736","수영 부모의 승낙과 나눔의 집 기부 의향은 섰지만 실제 지원 규모를 정해야 한다.","일본 공작의 현금이 피해자·활동가·죽은 부하 가족에게 돌아간 뒤 콜롬비아의 폐허가 나타난다.","기부와 보상을 확정하고 콜롬비아 조직의 새 위기를 확인한다.","나눔의 집에 5억원과 월 2000만원·차량·숙소, VANK에 월 1000만원·장비를 약속하고 전사자·부상자에게 각 1억원을 준다.","총 35억원 기금과 지속 지원 책임을 지면서 콜롬비아 내전 후유증도 처리해야 한다.","기부 결산 뒤 콜롬비아로 돌아온 강혁이 난민과 파괴된 삶을 직접 본다.","복수 전리품이 사회·부하에게 분배되고 강혁의 책임 범위가 넓어진다.","환원·전환","평온한 결산이 난민 풍경과 리오스의 배신 보고로 끊기며 다시 전쟁으로 돌아간다.","ELN·M19가 베네수엘라로 마약밭을 옮겨 강혁 시장을 침범했다.","일본 현금의 기부·전사자 결산","베네수엘라 마약농장 제거와 CIA 의뢰","M14 사할린 대형 유전을 장비·관계·기부의 결산으로 연결하다","high"
"190","ⓚ남자의 길 190화","","22737","22843","ELN·M19는 마약 농장을 베네수엘라로 옮기고 멕시코 조직과 손잡아 강혁의 미국 시장을 잠식했다.","이권 배신을 CIA가 제안한 거래로 응징할 판이 열린다.","베네수엘라 농장을 없애고 그 대가로 장기 자산과 무장을 얻는다.","발크의 타격 의뢰를 받아들이며 이라크 유전 지분과 야노스 20억달러 대출 10년 연장, 무기 무상지원을 요구한다.","적국 베네수엘라에 들어가면 CIA도 공식 보호를 못하고 반군과 정부 양쪽이 적이 된다.","미국은 강혁의 높은 조건까지 수용하며 작전을 서두른다.","시장 회복 명분과 이라크 자산·대출 연장·무기 지원을 확보한다.","계약·복수","조직 간 이권전이 CIA와 다시 손잡는 국경 밖 비밀전으로 확대된다.","메리다에서 100명으로 도보 침투해야 한다.","ELN·M19 배신 확인","베네수엘라 농장 3곳 파괴","M15 CIA 의뢰로 베네수엘라 마약농장을 불태웠다가 배신에서 탈출하다","high"
"191","ⓚ남자의 길 191화","","22844","22971","CIA는 조건을 받아들였고 강혁은 베네수엘라 세 농장을 칠 준비를 한다.","문서와 무기를 손에 넣은 100명이 메리다 산악으로 걸어 들어간다.","대가가 실제로 보장됐는지 확인하고 국경 감시를 피해 침투한다.","발크에게 대출 연장 확인서와 이라크 유전 약속을 받은 뒤 100명에게 무기를 나눠 메리다에서 도보 진입한다.","차량을 쓰면 발각되고 산악 이동은 시간·체력을 깎아 작전 후 철수를 어렵게 한다.","강혁은 CIA 말만 믿지 않고 계약 증빙부터 받아 배신 위험을 낮춘다.","완전 무장한 100명과 세 목표를 향한 은밀한 진입로를 확보한다.","준비·진입","협상 국면이 외부 지원 없는 장거리 산악 침투전으로 바뀐다.","첫 농장 방어선과 강제노동자 처리가 기다린다.","CIA 대가 확정","첫 농장 파괴","M15 CIA 의뢰로 베네수엘라 마약농장을 불태웠다가 배신에서 탈출하다","high"
"192","ⓚ남자의 길 192화","","22972","23098","강혁의 100명은 첫 마약농장 앞에 도착했고 노동자와 무장 경비가 섞여 있다.","첫 승리는 사상자와 포로 처리에서 강혁의 선을 드러낸다.","농장을 태우고 마약을 증거·전리품으로 확보하되 민간인을 살린다.","방어선을 급습해 농장을 파괴하고 코카인 200kg을 숨긴 뒤 강제노동자 40명을 풀어준다.","아군 3명이 죽고 5명이 다치며 CIA는 목격자를 모두 죽이라고 요구한다.","강혁은 작전 은폐보다 억지로 끌려온 노동자의 생명을 택해 CIA 명령을 거부한다.","첫 농장과 생산시설을 없애고 40명을 살려 보낸다.","선택·도덕","CIA와의 협력이 목표는 같아도 사람을 다루는 기준은 다르다는 균열이 생긴다.","남은 농장과 CIA의 불신이 함께 커진다.","첫 농장 파괴","둘째·셋째 농장과 CIA 갈등","M15 CIA 의뢰로 베네수엘라 마약농장을 불태웠다가 배신에서 탈출하다","high"
"193","ⓚ남자의 길 193화","","23099","23217","첫 농장은 불탔고 노동자를 살려 보낸 일로 CIA와 강혁 사이에 미세한 균열이 생겼다.","두 번째 승리 뒤 미국 본부가 이미 제거 명령을 꾸민 사실이 드러난다.","둘째 농장을 없애고 전력을 보존해 최종 목표로 간다.","기습과 방화로 두 번째 마약농장도 태우고 추격을 피한다.","계속된 전투로 병력이 줄고 메코맥은 강혁이 쓸모를 다했다고 판단한다.","메코맥이 몬테레이의 먼슬리를 불러 강혁을 죽이고 플로리다를 되찾게 하려 한다.","두 번째 생산거점 파괴에는 성공하지만 뒤에서 CIA의 제거전이 시작된다.","배신·위협","겉으로는 의뢰 수행이 순항하지만 아군으로 믿은 CIA가 최종 적으로 전환된다.","T-55가 지키는 셋째 농장과 먼슬리 매복이 겹친다.","둘째 농장 파괴","셋째 농장·CIA 제거 공작","M15 CIA 의뢰로 베네수엘라 마약농장을 불태웠다가 배신에서 탈출하다","high"
"194","ⓚ남자의 길 194화","44. 배신(2)","23218","23360","두 농장은 사라졌고 마지막 농장은 T-55 전차 세 대로 방어된다.","정면전을 피한 소이탄 타격이 최종 목표를 태우지만 배후 덫은 닫힌다.","전차 전력을 무력화하고 마지막 재배지를 없앤다.","소이 박격포로 치고 빠지며 전차 두 대와 작물을 불태우고 추격망을 벗어난다.","중장비와 추격 때문에 병력이 더 줄고 휴식이 절실하다.","메코맥은 작전 완료를 확인하고 강혁의 자산까지 회수하라고 지시한다.","세 번째 농장까지 파괴해 표면상의 CIA 의뢰는 완수된다.","임무·배신","목표 완료가 귀환이 아니라 CIA의 자산 강탈·살해 단계로 전환되는 경계가 된다.","사탕수수 농장 접선지가 함정인지 모른 채 들어간다.","세 농장 파괴","CIA·먼슬리 매복","M15 CIA 의뢰로 베네수엘라 마약농장을 불태웠다가 배신에서 탈출하다","high"
