sequence,visible_label,source_lines,semantic_status,score_status,ribbon_status,old_tension,new_tension,old_reward,new_reward,old_hook,new_hook,old_ribbon,new_ribbon,actual_action,actual_paid_reward,actual_ending_hook,concrete_event_before,concrete_event_after,pacing_note_before,pacing_note_after,adjudication
621,621,L108350~L108523,PASS,EDIT,PASS,7,7,9,7,8,7,0.20/0.25/0.09/0.07/0.39,0.20/0.25/0.09/0.07/0.39,중국 폭우·폭염·탄광침수로 석탄난이 오자 비축물량과 해운을 가동한다,호주·몽골 비축석탄 판매와 고운임 운송이 시작돼 태우상사 수익·지위가 상승한다.,농지침수와 곡물가 상승에 맞서 한국 식량자급을 어떤 체제로 바꿀지가 열린다.,중국 폭우·폭염·탄광침수로 석탄난이 오자 비축물량과 해운을 가동한다; 태우상사가 과거 상사맨 전성기처럼 다시 한국경제의 주요축이 될 역할이 확인된다.; 호주·몽골 비축석탄 판매와 고운임 운송이 시작돼 태우상사 수익·지위가 상승한다.,중국 폭우·폭염·탄광침수로 석탄난이 오자 비축물량과 해운을 가동한다; 태우상사가 과거 상사맨 전성기처럼 다시 한국경제의 주요축이 될 역할이 확인된다; 호주·몽골 비축석탄 판매와 고운임 운송이 시작돼 태우상사 수익·지위가 상승한다,중국 폭우와 탄광침수 때 선점한 호주·몽골 석탄과 태우 해운이 3배에서 10배 운임 수익으로 돌아온다,중국 폭우와 탄광침수 때 선점한 호주·몽골 석탄과 태우 해운이 3배에서 10배 운임 수익으로 돌아온다,보상은 실제 지급만 세어 9→7 판정; 훅은 마지막 프레임의 열린 질문만 세어 8→7 판정
622,622,L108524~L108692,PASS,EDIT,PASS,6,6,6,6,8,7,0.34/0.13/0.12/0.11/0.30,0.34/0.13/0.12/0.11/0.30,식량가 급등과 곡물메이저 압박에 스마트팜·위성·AI와 기업농 법안을 준비한다,스마트팜·농업위성·AI 유통망과 기업농 법안의 기본설계가 완성된다.,기업농에 필요한 농지를 어떻게 확보하고 자율주행·당 후계문제까지 청와대에서 어떻게 묶을지가 남는다.,식량가 급등과 곡물메이저 압박에 스마트팜·위성·AI와 기업농 법안을 준비한다; 식량도 전략무기가 되는 시대라 자급률 30퍼센트 한국을 바꿀 명분과 태우상사 이익이 일치한다.; 스마트팜·농업위성·AI 유통망과 기업농 법안의 기본설계가 완성된다.,식량가 급등과 곡물메이저 압박에 스마트팜·위성·AI와 기업농 법안을 준비한다; 식량도 전략무기가 되는 시대라 자급률 30퍼센트 한국을 바꿀 명분과 태우상사 이익이 일치한다; 스마트팜·농업위성·AI 유통망과 기업농 법안의 기본설계가 완성된다,곡물메이저 압박 속 스마트팜·위성·AI와 기업농 법안을 엮어 한국 식량자급과 태우 유통지배를 설계한다,"중국 폭우와 곡물가격 급등을 보고 스마트팜·농업위성·AI 유통망과 기업농 법안의 기본틀을 만든다. 기술·법의 설계는 지급됐지만 필요한 농지와 실제 입법은 정하지 않아, 식량위기가 장기 국가사업으로 커지는 정보량이 행동보다 앞선다.","훅은 마지막 프레임의 열린 질문만 세어 8→7 판정; L108524~L108692 수동 재독; 회차 필드 경계 교정, 표본 note를 현재 화 표면으로 교정; L108524~L108692 수동 재독; 회차 필드 경계 교정, 표본 note를 현재 화 표면으로 교정; L108524~L108692 수동 재독; 회차 필드 경계 교정, 표본 note를 현재 화 표면으로 교정; L108524~L108692 수동 재독; 회차 필드 경계 교정, 표본 note를 현재 화 표면으로 교정; L108524~L108692 수동 재독; 회차 필드 경계 교정, 표본 note를 현재 화 표면으로 교정; L108524~L108692 수동 재독; 회차 필드 경계 교정, 표본 note를 현재 화 표면으로 교정; L108524~L108692 수동 재독; 회차 필드 경계 교정, 표본 note를 현재 화 표면으로 교정; L108524~L108692 수동 재독; 회차 필드 경계 교정, 표본 note를 현재 화 표면으로 교정; L108524~L108692 수동 재독; 회차 필드 경계 교정, 표본 note를 현재 화 표면으로 교정; L108524~L108692 수동 재독; 회차 필드 경계 교정, 표본 note를 현재 화 표면으로 교정"
623,623,L108693~L108858,PASS,EDIT,PASS,5,5,8,8,8,7,0.31/0.12/0.18/0.07/0.32,0.31/0.12/0.18/0.07/0.32,명동 투자금을 꼭대기 전에 회수하고 일본 슈퍼앱·레벨5 자율차·국내 평야 매입을 점검한다,명동 투자금 회수와 일본 플랫폼·레벨5·평야 매입현황이 확인되고 청와대 담판이 결정된다.,최재석이 제주 실증·기업농 법과 함께 퇴임 뒤 당 후계문제까지 꺼낼지가 열린다.,명동 투자금을 꼭대기 전에 회수하고 일본 슈퍼앱·레벨5 자율차·국내 평야 매입을 점검한다; 기업농과 완전자율주행 모두 정부규제 없이는 불가능해 최재석과 한 자리에서 풀어야 한다.; 명동 투자금 회수와 일본 플랫폼·레벨5·평야 매입현황이 확인되고 청와대 담판이 결정된다.,명동 투자금을 꼭대기 전에 회수하고 일본 슈퍼앱·레벨5 자율차·국내 평야 매입을 점검한다; 기업농과 완전자율주행 모두 정부규제 없이는 불가능해 최재석과 한 자리에서 풀어야 한다; 명동 투자금 회수와 일본 플랫폼·레벨5·평야 매입현황이 확인되고 청와대 담판이 결정된다,명동 투자금을 꼭대기 전에 회수해 일본 슈퍼앱·레벨5 자율차·국내 평야라는 실물기반으로 옮긴다,명동 투자금을 꼭대기 전에 회수해 일본 슈퍼앱·레벨5 자율차·국내 평야라는 실물기반으로 옮긴다,훅은 마지막 프레임의 열린 질문만 세어 8→7 판정
624,624,L108859~L109020,PASS,EDIT,PASS,6,6,7,7,8,7,0.22/0.20/0.32/0.13/0.13,0.22/0.20/0.32/0.13/0.13,최재석에게 제주 자율주행 실증과 기업농을 요구하고 후계자 선정을 돕기로 한다,제주 실증·기업농 추진과 후계자 선정을 함께 돕는 김민재·최재석 합의가 성립된다.,제주 무인주행이 성공할지와 3천 명 당원 속 배신자를 강 대위가 찾아낼지가 남는다.,최재석에게 제주 자율주행 실증과 기업농을 요구하고 후계자 선정을 돕기로 한다; 국민경제당이 서로 다른 진영을 모르는 사이 대화합의 장으로 만들었다는 후계구도가 드러난다.; 제주 실증·기업농 추진과 후계자 선정을 함께 돕는 김민재·최재석 합의가 성립된다.,최재석에게 제주 자율주행 실증과 기업농을 요구하고 후계자 선정을 돕기로 한다; 국민경제당이 서로 다른 진영을 모르는 사이 대화합의 장으로 만들었다는 후계구도가 드러난다; 제주 실증·기업농 추진과 후계자 선정을 함께 돕는 김민재·최재석 합의가 성립된다,최재석에게 제주 자율주행 실증과 기업농을 요구하고 국민경제당 후계자 선정까지 돕겠다고 약속한다,최재석에게 제주 자율주행 실증과 기업농을 요구하고 국민경제당 후계자 선정까지 돕겠다고 약속한다,훅은 마지막 프레임의 열린 질문만 세어 8→7 판정
625,625,L109021~L109183,EDIT,EDIT,PASS,8,8,6,7,9,8,0.24/0.31/0.22/0.17/0.06,0.24/0.31/0.22/0.17/0.06,제주 무인주행 성공을 확인하고 강 대위에게 국민경제당 당원 3천 명을 검증해 내부 배신자를 찾으라고 지시한다.,제주 무인주행 성공과 당원 3천 명 검증자료·수사방식을 확보한다. 배신자 신원·증거는 아직 전이다.,강 대위가 3천 명 자료에서 실제 배신자와 자금망을 특정해 증거로 넘길 수 있는가?,제주 무인주행을 성공시키고 당원 3천 명을 검증해 내부 배신자를 찾는다; 수많은 유사작전을 해 온 강 대위가 자신 있게 웃어 내부정리 실행가능성이 높아진다.; 제주 무인주행이 성공하고 3천 명 당원검증 자료·수사방식이 준비된다.,제주 무인주행 성공을 확인하고 강 대위에게 국민경제당 당원 3천 명을 검증해 내부 배신자를 찾으라고 지시한다; 수많은 유사작전을 해 온 강 대위가 자신 있게 웃어 내부정리 실행가능성이 높아진다; 제주 무인주행 성공과 당원 3천 명 검증자료·수사방식을 확보한다. 배신자 신원·증거는 아직 전이다,제주 무인주행 성공 직후 당원 3천 명을 검증하고 강 대위가 내부 배신자를 좁혀 정치조직의 불안을 키운다,"제주 무인주행 성공을 확인하는 기술 보상 뒤 강 대위에게 국민경제당 당원 3천 명을 검증하라고 맡긴다. 수사방식과 자료는 확보됐지만 배신자 신원·자금망은 없어서, 성취의 속도가 내부 의심과 추적 행동으로 곧바로 꺾인다.","보상은 실제 지급만 세어 6→7 판정; 훅은 마지막 프레임의 열린 질문만 세어 9→8 판정; L109021~L109183 수동 재독; 점수·리본 유지, 기계적 note만 장면별 편집문으로 교체; L109021~L109183 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109021~L109183 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109021~L109183 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109021~L109183 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109021~L109183 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109021~L109183 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109021~L109183 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109021~L109183 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109021~L109183 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109021~L109183 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109021~L109183 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109021~L109183 수동 재독; 기계적 note를 장면별 편집문으로 교체"
626,626,L109184~L109346,PASS,EDIT,PASS,8,8,7,7,8,7,0.20/0.26/0.30/0.16/0.08,0.20/0.26/0.30/0.16/0.08,유석훈에게 배신 증거를 넘겨 국민경제당을 정리하고 북한 장남 정보는 내부처리만 지시한다,유석훈이 배신증거를 받아 당정리에 착수하고 장남 정보는 내부처리로 봉인된다.,중국 전력난을 이용해 장남의 연변 자금·물류기반을 만들 수 있을지가 열린다.,유석훈에게 배신 증거를 넘겨 국민경제당을 정리하고 북한 장남 정보는 내부처리만 지시한다; 국가가 아니면서 국가급 힘을 가진 태우만이 중국·북한 상대 비공식전략을 쓸 수 있다는 자신감이 확인된다.; 유석훈이 배신증거를 받아 당정리에 착수하고 장남 정보는 내부처리로 봉인된다.,유석훈에게 배신 증거를 넘겨 국민경제당을 정리하고 북한 장남 정보는 내부처리만 지시한다; 국가가 아니면서 국가급 힘을 가진 태우만이 중국·북한 상대 비공식전략을 쓸 수 있다는 자신감이 확인된다; 유석훈이 배신증거를 받아 당정리에 착수하고 장남 정보는 내부처리로 봉인된다,유석훈에게 배신 증거를 넘겨 국민경제당 내 총질을 정리하고 북한 장남 정보는 내부처리로 묶는다,유석훈에게 배신 증거를 넘겨 국민경제당 내 총질을 정리하고 북한 장남 정보는 내부처리로 묶는다,훅은 마지막 프레임의 열린 질문만 세어 8→7 판정
627,627,L109347~L109508,EDIT,EDIT,PASS,7,7,7,5,8,7,0.24/0.16/0.29/0.11/0.20,0.24/0.16/0.29/0.11/0.20,리강의 석탄 요청에 장기계약·연변 통로·북한탄 감시를 조건으로 건다,중국 장기석탄 거래와 연변 물류·북한탄 감시조건이 협상에 들어간다.,연변 돈주·유통망을 장남이 실제로 자기 세력으로 요리할지가 남는다.,리강의 석탄 요청에 장기계약·연변 통로·북한탄 감시를 조건으로 건다; 직접 돈을 주지 않아도 석탄유통과 연변기회를 제공하면 장남이 북한 안으로 파고들 수 있다.; 중국 장기석탄 거래와 연변 물류·북한탄 감시조건이 협상에 들어간다.,리강의 석탄 요청에 장기계약·연변 통로·북한탄 감시를 조건으로 건다; 직접 돈을 주지 않아도 석탄유통과 연변기회를 제공하면 장남이 북한 안으로 파고들 수 있다; 중국 장기석탄 거래와 연변 물류·북한탄 감시조건이 협상에 들어간다,리강의 석탄 요청에 장기계약과 연변 통로·북한탄 감시를 달아 장남의 자금·물류 기반을 만든다,"리강의 석탄 요청에 장기계약, 연변 통로, 북한탄 감시를 한 묶음의 역조건으로 건다. 중국 거래가 협상판에 오른 것만 지급되고, 마지막에는 연변 돈주와 유통망을 장남이 자기 세력으로 만들 수 있는지가 관계 훅을 차지한다.","보상은 실제 지급만 세어 7→5 판정; 훅은 마지막 프레임의 열린 질문만 세어 8→7 판정; L109347~L109508 수동 재독; 점수·리본 유지, 기계적 note만 장면별 편집문으로 교체; L109347~L109508 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109347~L109508 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109347~L109508 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109347~L109508 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109347~L109508 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109347~L109508 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109347~L109508 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109347~L109508 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109347~L109508 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109347~L109508 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109347~L109508 수동 재독; 기계적 note를 장면별 편집문으로 교체; L109347~L109508 수동 재독; 기계적 note를 장면별 편집문으로 교체"
628,628,L109509~L109656,PASS,EDIT,PASS,8,8,6,6,9,8,0.31/0.21/0.14/0.12/0.22,0.31/0.21/0.14/0.12/0.22,미국 허리케인으로 오른 유가에 크게 롱하고 에버그란데 공격세력과 손잡는다,유가 롱과 에버그란데 공격연합이 구축되고 상대세력까지 역포획할 판이 선다.,에버그란데 주가를 먼저 띄운 뒤 숏수익을 회수하고 그 돈을 장남에게 흘릴지가 열린다.,미국 허리케인으로 오른 유가에 크게 롱하고 에버그란데 공격세력과 손잡는다; 한 부회장은 중국 부동산뿐 아니라 장난질 세력·중국은행·쿠웨이트·독일자본까지 집어삼킬 계획을 갖는다.; 유가 롱과 에버그란데 공격연합이 구축되고 상대세력까지 역포획할 판이 선다.,미국 허리케인으로 오른 유가에 크게 롱하고 에버그란데 공격세력과 손잡는다; 한 부회장은 중국 부동산뿐 아니라 장난질 세력·중국은행·쿠웨이트·독일자본까지 집어삼킬 계획을 갖는다; 유가 롱과 에버그란데 공격연합이 구축되고 상대세력까지 역포획할 판이 선다,허리케인발 유가 상승에 크게 롱하고 에버그란데 공격세력과 손잡아 미래지식 밖 고위험 금융전을 연다,미국 허리케인 뒤 유가 롱을 키우고 에버그란데 공격세력과 손잡아 중국 은행·해외자본까지 역포획할 판을 짠다. 연합과 공격방향은 잡혔지만 주가부양·숏결산·자금회수는 전이라 고위험 계산이 실제 수익보다 오래 남는다.,"훅은 마지막 프레임의 열린 질문만 세어 9→8 판정; L109509~L109656 수동 재독; 회차 필드 경계 교정, 표본 note를 현재 화 표면으로 교정; L109509~L109656 수동 재독; 회차 필드 경계 교정, 표본 note를 현재 화 표면으로 교정; L109509~L109656 수동 재독; 회차 필드 경계 교정, 표본 note를 현재 화 표면으로 교정; L109509~L109656 수동 재독; 회차 필드 경계 교정, 표본 note를 현재 화 표면으로 교정; L109509~L109656 수동 재독; 회차 필드 경계 교정, 표본 note를 현재 화 표면으로 교정; L109509~L109656 수동 재독; 회차 필드 경계 교정, 표본 note를 현재 화 표면으로 교정; L109509~L109656 수동 재독; 회차 필드 경계 교정, 표본 note를 현재 화 표면으로 교정; L109509~L109656 수동 재독; 회차 필드 경계 교정, 표본 note를 현재 화 표면으로 교정; L109509~L109656 수동 재독; 회차 필드 경계 교정, 표본 note를 현재 화 표면으로 교정; L109509~L109656 수동 재독; 회차 필드 경계 교정, 표본 note를 현재 화 표면으로 교정"
629,629,L109657~L109844,PASS,EDIT,PASS,7,7,9,8,8,7,0.18/0.22/0.21/0.09/0.30,0.18/0.22/0.21/0.09/0.30,에버그란데 주가를 띄운 뒤 공매도 수익을 거두고 연변 돈주로 장남을 지원한다,에버그란데 공매도 수익이 실현되고 연변 돈주·석탄유통 기반이 장남 쪽으로 넘어간다.,북한의 해킹·암호화폐·도박 자금을 막아 장남의 연변의존을 더 높일지가 남는다.,에버그란데 주가를 띄운 뒤 공매도 수익을 거두고 연변 돈주로 장남을 지원한다; 태우는 재료만 주고 요리는 장남의 능력에 맡겨 직접개입 흔적을 줄인다.; 에버그란데 공매도 수익이 실현되고 연변 돈주·석탄유통 기반이 장남 쪽으로 넘어간다.,에버그란데 주가를 띄운 뒤 공매도 수익을 거두고 연변 돈주로 장남을 지원한다; 태우는 재료만 주고 요리는 장남의 능력에 맡겨 직접개입 흔적을 줄인다; 에버그란데 공매도 수익이 실현되고 연변 돈주·석탄유통 기반이 장남 쪽으로 넘어간다,에버그란데 주가를 띄운 뒤 공매도 수익을 거두고 연변 돈주와 석탄 유통을 장남의 기반으로 넘긴다,에버그란데 주가를 띄운 뒤 공매도 수익을 거두고 연변 돈주와 석탄 유통을 장남의 기반으로 넘긴다,보상은 실제 지급만 세어 9→8 판정; 훅은 마지막 프레임의 열린 질문만 세어 8→7 판정
630,630,L109845~L110005,EDIT,EDIT,PASS,8,8,7,7,9,7,0.22/0.27/0.18/0.15/0.18,0.22/0.27/0.18/0.15/0.18,북한 해킹·암호화폐·도박 자금을 막아 연변 의존을 높이고 조지를 일본 공격에 투입한다,북한 불법자금 차단망이 가동되고 장남의 연변기반 상대우위가 커지며 조지가 일본전에 배치된다.,조지가 일본 금융전에 배치된 뒤 어떤 목표·자금·공격시점을 정해 첫 행동에 나설 것인가?,북한 해킹·암호화폐·도박 자금을 막아 연변 의존을 높이고 조지를 일본 공격에 투입한다; 튀어나온 일본이라는 못을 조지라는 능숙한 장인에게 맡길 시점이 왔다는 다음 상대가 정해진다.; 북한 불법자금 차단망이 가동되고 장남의 연변기반 상대우위가 커지며 조지가 일본전에 배치된다.,북한 해킹·암호화폐·도박 자금을 막아 연변 의존을 높이고 조지를 일본 공격에 투입한다; 튀어나온 일본이라는 못을 조지라는 능숙한 장인에게 맡길 시점이 왔다는 다음 상대가 정해진다; 북한 불법자금 차단망이 가동되고 장남의 연변기반 상대우위가 커지며 조지가 일본전에 배치된다,북한 해킹·암호화폐·도박 자금을 막아 연변 의존을 높이고 조지를 엔화 공격에 투입하며 다음 전장을 연다,북한 해킹·암호화폐·도박 자금을 막아 연변 의존을 높이고 조지를 엔화 공격에 투입하며 다음 전장을 연다,훅은 마지막 프레임의 열린 질문만 세어 9→7 판정
631,631,L110006~L110171,EDIT,EDIT,PASS,8,8,5,7,9,8,0.29/0.22/0.20/0.15/0.14,0.29/0.22/0.20/0.15/0.14,리강에게 러시아의 3월 침공 정보를 확인하고 금융타워 자본 절반을 에너지에 건다,리강 정보로 3월 침공시계가 확인되고 에너지 자본배치가 승인된다.,리강에게서 확인한 3월 침공시계와 에너지 자본배치가 실제 개전 때 어떤 수익·공급망 우위로 바뀔 것인가?,리강에게 러시아의 3월 침공 정보를 확인하고 금융타워 자본 절반을 에너지에 건다; 김민재는 어떤 일이 있어도 원하는 상황을 만들고 손해보지 않겠다는 의지를 한 부회장에게 분명히 한다.; 리강 정보로 3월 침공시계가 확인되고 에너지 자본배치가 승인된다.,리강에게 러시아의 3월 침공 정보를 확인하고 금융타워 자본 절반을 에너지에 건다; 김민재는 어떤 일이 있어도 원하는 상황을 만들고 손해보지 않겠다는 의지를 한 부회장에게 분명히 한다; 리강 정보로 3월 침공시계가 확인되고 에너지 자본배치가 승인된다,리강에게 러시아의 3월 침공 정보를 확인하고 금융타워 자본 절반을 에너지에 걸어 최대 전쟁 베팅을 시작한다,리강에게 러시아의 3월 침공 정보를 확인하고 금융타워 자본 절반을 에너지에 걸어 최대 전쟁 베팅을 시작한다,보상은 실제 지급만 세어 5→7 판정; 훅은 마지막 프레임의 열린 질문만 세어 9→8 판정
632,632,L110172~L110332,PASS,PASS,PASS,9,9,5,5,8,8,0.19/0.39/0.18/0.14/0.10,0.19/0.39/0.18/0.14/0.10,말리 쿠데타가 리튬광산을 빼앗자 MBS·로만을 통해 바그너를 투입한다,MBS·로만 경로로 바그너 계약이 성립되고 말리 광산탈환 작전이 시작된다.,광산을 되찾은 뒤 바그너와 어느 정도 거리를 두고 제재위험을 제한할지가 남는다.,말리 쿠데타가 리튬광산을 빼앗자 MBS·로만을 통해 바그너를 투입한다; 아프리카 영향력을 지키려면 피에 굶주린 세력을 써서라도 잔인한 억지력을 보여야 한다는 판단이 선다.; MBS·로만 경로로 바그너 계약이 성립되고 말리 광산탈환 작전이 시작된다.,말리 쿠데타가 리튬광산을 빼앗자 MBS·로만을 통해 바그너를 투입한다; 아프리카 영향력을 지키려면 피에 굶주린 세력을 써서라도 잔인한 억지력을 보여야 한다는 판단이 선다; MBS·로만 경로로 바그너 계약이 성립되고 말리 광산탈환 작전이 시작된다,말리 쿠데타로 리튬광산을 빼앗기자 MBS·로만 경로로 바그너를 투입해 피를 부르는 탈환전에 들어간다,말리 쿠데타로 리튬광산을 빼앗기자 MBS·로만 경로로 바그너를 투입해 피를 부르는 탈환전에 들어간다,기존 점수·리본 유지; 원문 하드 경계와 인접 회차 대비 재확인
633,633,L110333~L110512,EDIT,EDIT,PASS,7,7,8,8,7,6,0.17/0.31/0.16/0.10/0.26,0.17/0.31/0.16/0.10/0.26,바그너가 말리 광산을 복구하자 직접 유착은 피하고 억지력만 남긴다,말리 리튬광산이 복구되고 바그너와 제한적 연락·억지관계가 남는다.,되찾은 말리 광산을 유지하면서 바그너와 거리를 두고 민간피해·제재 위험을 제한할 수 있는가?,바그너가 말리 광산을 복구하자 직접 유착은 피하고 억지력만 남긴다; 필요할 때 써먹을 수는 있으나 친해질 필요는 없다는 이용거리의 선이 정해진다.; 말리 리튬광산이 복구되고 바그너와 제한적 연락·억지관계가 남는다.,바그너가 말리 광산을 복구하자 직접 유착은 피하고 억지력만 남긴다; 필요할 때 써먹을 수는 있으나 친해질 필요는 없다는 이용거리의 선이 정해진다; 말리 리튬광산이 복구되고 바그너와 제한적 연락·억지관계가 남는다,바그너가 말리 광산을 복구하자 김민재는 직접 유착을 피하고 자산 억지력만 남겨 보상과 제재위험을 함께 정리한다,바그너가 말리 광산을 복구하자 김민재는 직접 유착을 피하고 자산 억지력만 남겨 보상과 제재위험을 함께 정리한다,훅은 마지막 프레임의 열린 질문만 세어 7→6 판정
634,634,L110513~L110687,EDIT,EDIT,PASS,5,5,7,6,8,6,0.33/0.12/0.25/0.18/0.12,0.33/0.12/0.25/0.18/0.12,오미크론으로 코로나 종식을 읽고 최재석에게 러시아전쟁의 굴종외교를 피하라고 한다,오미크론을 종식전환점으로 판단하고 러우전쟁 독립외교 원칙이 최재석과 공유된다.,오미크론을 종식 전환점으로 삼고 러우전쟁 속에서도 최재석 정부가 굴종 없이 독자외교를 실행할 수 있는가?,오미크론으로 코로나 종식을 읽고 최재석에게 러시아전쟁의 굴종외교를 피하라고 한다; 태우와 한국이 이미 공급주도권을 쥐고 있어 얕보는 상대는 누구든 무릎 꿇릴 수 있다는 자신감이 확인된다.; 오미크론을 종식전환점으로 판단하고 러우전쟁 독립외교 원칙이 최재석과 공유된다.,오미크론으로 코로나 종식을 읽고 최재석에게 러시아전쟁의 굴종외교를 피하라고 한다; 태우와 한국이 이미 공급주도권을 쥐고 있어 얕보는 상대는 누구든 무릎 꿇릴 수 있다는 자신감이 확인된다; 오미크론을 종식전환점으로 판단하고 러우전쟁 독립외교 원칙이 최재석과 공유된다,오미크론으로 코로나 종식을 읽고 최재석에게 러시아전쟁에서 굴종외교를 피하라고 해 준비된 국가의 자신감을 준다,오미크론으로 코로나 종식을 읽고 최재석에게 러시아전쟁에서 굴종외교를 피하라고 해 준비된 국가의 자신감을 준다,보상은 실제 지급만 세어 7→6 판정; 훅은 마지막 프레임의 열린 질문만 세어 8→6 판정
635,635,L110688~L110860,EDIT,EDIT,PASS,8,8,7,8,8,7,0.20/0.28/0.20/0.19/0.13,0.20/0.28/0.20/0.19/0.13,이 상무의 CNC가 북한으로 흘러가는 것을 허용하고 기업농 법안을 통과시킨다,CNC 유입경로가 유지·감시되고 기업농 법안이 국회에서 통과된다.,통과한 기업농 법이 예상한 농민반발을 버티며 실제 생산·유통개혁으로 이어질 수 있는가?,이 상무의 CNC가 북한으로 흘러가는 것을 허용하고 기업농 법안을 통과시킨다; 법 통과가 2021년 마지막을 시끄럽게 하고 최재석 지지율 최저점을 만들 비용임이 현실화된다.; CNC 유입경로가 유지·감시되고 기업농 법안이 국회에서 통과된다.,이 상무의 CNC가 북한으로 흘러가는 것을 허용하고 기업농 법안을 통과시킨다; 법 통과가 2021년 마지막을 시끄럽게 하고 최재석 지지율 최저점을 만들 비용임이 현실화된다; CNC 유입경로가 유지·감시되고 기업농 법안이 국회에서 통과된다,이 상무의 CNC가 북한으로 흐르게 두는 한편 야당 몸싸움을 뚫고 기업농 법안을 통과시켜 두 전선을 전진시킨다,이 상무의 CNC가 북한으로 흐르게 두는 한편 야당 몸싸움을 뚫고 기업농 법안을 통과시켜 두 전선을 전진시킨다,보상은 실제 지급만 세어 7→8 판정; 훅은 마지막 프레임의 열린 질문만 세어 8→7 판정
636,636,L110861~L111037,EDIT,EDIT,PASS,8,8,6,6,7,6,0.24/0.24/0.18/0.18/0.16,0.24/0.24/0.18/0.18/0.16,농민시위 속 가격효과를 밀고 손실 나는 28GHz를 자율주행·스마트팜 때문에 유지한다,기업농 정책과 28GHz 유지방침이 철회되지 않고 가격·기술 실증을 계속한다.,손실을 감수해 지킨 기업농·28GHz가 농산물 가격과 자율주행·스마트팜의 실제 장기효과를 낼 것인가?,농민시위 속 가격효과를 밀고 손실 나는 28GHz를 자율주행·스마트팜 때문에 유지한다; 계열사 하나가 손해봐도 조직전체가 이익이면 그 길을 간다는 장기경영 원칙이 재확인된다.; 기업농 정책과 28GHz 유지방침이 철회되지 않고 가격·기술 실증을 계속한다.,농민시위 속 가격효과를 밀고 손실 나는 28GHz를 자율주행·스마트팜 때문에 유지한다; 계열사 하나가 손해봐도 조직전체가 이익이면 그 길을 간다는 장기경영 원칙이 재확인된다; 기업농 정책과 28GHz 유지방침이 철회되지 않고 가격·기술 실증을 계속한다,농민시위와 지지율 하락 속에서도 기업농 효과를 밀고 적자 나는 28GHz를 자율주행·스마트팜 때문에 유지한다,농민시위와 지지율 하락 속에서도 기업농 효과를 밀고 적자 나는 28GHz를 자율주행·스마트팜 때문에 유지한다,훅은 마지막 프레임의 열린 질문만 세어 7→6 판정
