ordinal,arc_id,start_sequence,end_sequence,source_arc_ids,decision,arc_name,dominant_question,evidence_anchor,boundary_line_evidence,predecessor_payoff,next_first_action,bridge_climax_ownership,ledger_sha256,source_sha256
100,DCA-N54,621,625,DCA-N54,SPLIT,중국 석탄난·기업농과 제주 자율주행 실증,중국 석탄난·기업농과 제주 자율주행 실증의 약속을 제주 무인주행 성공과 당원 3천 명 검증자료·수사방식을 확보한다. 배신자 신원·증거는 아직 전이다.까지 실제 장면으로 결산하는가?,L109175~L109192,L109175~L109192; predecessor=620화 L108187~L108349: 수에즈 통항우선권·확장공사 약속이 확정되고 로나 취약성 공개·공매도가 시작된다.; next=621화 L108350~L108523: 중국 폭우·폭염·탄광침수로 석탄난이 오자 비축물량과 해운을 가동한다,620화 L108187~L108349: 수에즈 통항우선권·확장공사 약속이 확정되고 로나 취약성 공개·공매도가 시작된다.,621화 L108350~L108523: 중국 폭우·폭염·탄광침수로 석탄난이 오자 비축물량과 해운을 가동한다,625화의 지급 ‘제주 무인주행 성공과 당원 3천 명 검증자료·수사방식을 확보한다. 배신자 신원·증거는 아직 전이다.’은 DCA-N54 소유다. 끝 훅 ‘강 대위가 3천 명 자료에서 실제 배신자와 자금망을 특정해 증거로 넘길 수 있는가?’은 bridge이고 626화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
101,DCA-N54B,626,630,DCA-N54,SPLIT,국민경제당 배신자·연변 돈주와 북한 장남망,국민경제당 배신자·연변 돈주와 북한 장남망의 약속을 북한 불법자금 차단망이 가동되고 장남의 연변기반 상대우위가 커지며 조지가 일본전에 배치된다.까지 실제 장면으로 결산하는가?,L109175~L109192,L109175~L109192; predecessor=625화 L109021~L109183: 제주 무인주행 성공과 당원 3천 명 검증자료·수사방식을 확보한다. 배신자 신원·증거는 아직 전이다.; next=626화 L109184~L109346: 유석훈에게 배신 증거를 넘겨 국민경제당을 정리하고 북한 장남 정보는 내부처리만 지시한다,625화 L109021~L109183: 제주 무인주행 성공과 당원 3천 명 검증자료·수사방식을 확보한다. 배신자 신원·증거는 아직 전이다.,626화 L109184~L109346: 유석훈에게 배신 증거를 넘겨 국민경제당을 정리하고 북한 장남 정보는 내부처리만 지시한다,630화의 지급 ‘북한 불법자금 차단망이 가동되고 장남의 연변기반 상대우위가 커지며 조지가 일본전에 배치된다.’은 DCA-N54B 소유다. 끝 훅 ‘조지가 일본 금융전에 배치된 뒤 어떤 목표·자금·공격시점을 정해 첫 행동에 나설 것인가?’은 bridge이고 631화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
102,DCA-N55,631,633,DCA-N55,SPLIT,말리 리튬광산 탈환과 지분 5% 추가,말리 리튬광산을 PMC 압박으로 되찾고 지분 5%와 현지 안전지위를 지급받는가?,L110006~L110020;L110467~L110503,L110006~L110020;L110467~L110503; predecessor=630화 L109845~L110005: 북한 불법자금 차단망이 가동되고 장남의 연변기반 상대우위가 커지며 조지가 일본전에 배치된다.; next=631화 L110006~L110171: 리강에게 러시아의 3월 침공 정보를 확인하고 금융타워 자본 절반을 에너지에 건다,630화 L109845~L110005: 북한 불법자금 차단망이 가동되고 장남의 연변기반 상대우위가 커지며 조지가 일본전에 배치된다.,631화 L110006~L110171: 리강에게 러시아의 3월 침공 정보를 확인하고 금융타워 자본 절반을 에너지에 건다,633화의 지급 ‘말리 리튬광산이 복구되고 바그너와 제한적 연락·억지관계가 남는다.’은 DCA-N55 소유다. 끝 훅 ‘되찾은 말리 광산을 유지하면서 바그너와 거리를 두고 민간피해·제재 위험을 제한할 수 있는가?’은 bridge이고 634화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
103,DCA-N55B,634,636,DCA-N55,SPLIT,오미크론 독립외교·기업농법과 28GHz 강행,오미크론·러우전 독립외교를 기업농법과 28GHz 강행의 국내정책으로 고정하는가?,L110467~L110520;L111015~L111042,L110467~L110520;L111015~L111042; predecessor=633화 L110333~L110512: 말리 리튬광산이 복구되고 바그너와 제한적 연락·억지관계가 남는다.; next=634화 L110513~L110687: 오미크론으로 코로나 종식을 읽고 최재석에게 러시아전쟁의 굴종외교를 피하라고 한다,633화 L110333~L110512: 말리 리튬광산이 복구되고 바그너와 제한적 연락·억지관계가 남는다.,634화 L110513~L110687: 오미크론으로 코로나 종식을 읽고 최재석에게 러시아전쟁의 굴종외교를 피하라고 한다,636화의 지급 ‘기업농 정책과 28GHz 유지방침이 철회되지 않고 가격·기술 실증을 계속한다.’은 DCA-N55B 소유다. 끝 훅 ‘손실을 감수해 지킨 기업농·28GHz가 농산물 가격과 자율주행·스마트팜의 실제 장기효과를 낼 것인가?’은 bridge이고 637화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
104,DCA-N56,637,641,DCA-N56,SPLIT,리즈 인수·홀란드 계약과 베이징 외교,리즈 구단 인수와 홀란드 계약을 베이징 외교선까지 손상 없이 닫는가?,L111038~L111060;L111850~L111871,L111038~L111060;L111850~L111871; predecessor=636화 L110861~L111037: 기업농 정책과 28GHz 유지방침이 철회되지 않고 가격·기술 실증을 계속한다.; next=637화 L111038~L111207: 김태중이 손자의 과부하를 걱정하자 EPL 리즈 구단을 선물하겠다고 한다,636화 L110861~L111037: 기업농 정책과 28GHz 유지방침이 철회되지 않고 가격·기술 실증을 계속한다.,637화 L111038~L111207: 김태중이 손자의 과부하를 걱정하자 EPL 리즈 구단을 선물하겠다고 한다,"641화의 지급 ‘홀란드의 3년 유럽이적 조항을 포함한 리즈 계약과 베이징 외교선이 성립된다.’은 DCA-N56 소유다. 끝 훅 ‘홀란드 영입과 베이징 외교선을 확보한 뒤, 다가오는 러우전쟁에서 미중 사이 독자공간을 어떻게 지킬 것인가?’은 bridge이고 642화 실제 행동은 다음 Arc가 소유한다.",52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
105,DCA-N56B,642,642,DCA-N56,SPLIT,북한 장남의 이 상무 돈·신뢰·CNC 복수,북한 장남이 이 상무의 돈·신뢰·CNC를 실제로 빼앗아 개인복수를 결산하는가?,L111850~L111890;L112045~L112067,L111850~L111890;L112045~L112067; predecessor=641화 L111698~L111871: 홀란드의 3년 유럽이적 조항을 포함한 리즈 계약과 베이징 외교선이 성립된다.; next=642화 L111872~L112067: 장남이 이 상무의 CNC를 위조수표·암호화폐 역공으로 빼앗는다,641화 L111698~L111871: 홀란드의 3년 유럽이적 조항을 포함한 리즈 계약과 베이징 외교선이 성립된다.,642화 L111872~L112067: 장남이 이 상무의 CNC를 위조수표·암호화폐 역공으로 빼앗는다,"642화의 지급 ‘이 상무의 돈·신뢰·CNC가 장남 쪽으로 넘어가 개인복수의 핵심이 닫힌다.’은 DCA-N56B 소유다. 끝 훅 ‘돈·신뢰·CNC를 잃고도 상황을 이해하지 못하는 이 상무의 잔여망이 어디까지 무너지고, 장남은 빼앗은 기반을 어떻게 쓸 것인가?’은 bridge이고 643화 실제 행동은 다음 Arc가 소유한다.",52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
106,DCA-N57,643,645,DCA-N57,SPLIT,러시아 침공 대응과 우크라이나 군수·원전·물류 설계,러시아 침공 직후 한국의 탄약·방산·원전·물류를 우크라이나 지원선으로 설계하는가?,L112068~L112090;L112562~L112578,L112068~L112090;L112562~L112578; predecessor=642화 L111872~L112067: 이 상무의 돈·신뢰·CNC가 장남 쪽으로 넘어가 개인복수의 핵심이 닫힌다.; next=643화 L112068~L112240: 장남의 복수가 끝난 날 러시아가 우크라이나를 침공한다,642화 L111872~L112067: 이 상무의 돈·신뢰·CNC가 장남 쪽으로 넘어가 개인복수의 핵심이 닫힌다.,643화 L112068~L112240: 장남의 복수가 끝난 날 러시아가 우크라이나를 침공한다,645화의 지급 ‘유럽 방산·원전·물류·식량 패키지와 미국 보충판매 구조가 완성된다.’은 DCA-N57 소유다. 끝 훅 ‘설계한 미국 보충판매·유럽 방산·원전·물류·식량 패키지를 실제 승인과 장기계약으로 바꿀 수 있는가?’은 bridge이고 646화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
107,DCA-N57B,646,648,DCA-N57,SPLIT,니켈 마진콜 200억 보증과 광산·가격 안정,시안 니켈 마진콜을 200억 달러 보증·광산 양도·가격 안정으로 수습하는가?,L112562~L112595;L112918~L113086,L112562~L112595;L112918~L113086; predecessor=645화 L112415~L112578: 유럽 방산·원전·물류·식량 패키지와 미국 보충판매 구조가 완성된다.; next=646화 L112579~L112742: 니켈 공매도 마진콜에 몰린 창산 시안을 만나 구제조건을 묻고 현금 대신 인도네시아 니켈광산을 요구한다.,645화 L112415~L112578: 유럽 방산·원전·물류·식량 패키지와 미국 보충판매 구조가 완성된다.,646화 L112579~L112742: 니켈 공매도 마진콜에 몰린 창산 시안을 만나 구제조건을 묻고 현금 대신 인도네시아 니켈광산을 요구한다.,648화의 지급 ‘니켈 투기세력이 손실을 보고 광산·가격안정이 굳어지며 러시아 원유가 동남아 거쳐 수익화된다.’은 DCA-N57B 소유다. 끝 훅 ‘니켈·러시아 에너지 결산 뒤 핵심광물과 제재 우회망을 제재위험 없이 장기 주도권으로 유지할 수 있는가?’은 bridge이고 649화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
108,DCA-N58,649,654,DCA-N58,SPLIT,SVB 1달러 인수와 모든 지분·경영권 이전,"SVB 1달러 인수와 모든 지분·경영권 이전의 약속을 SVB 모든 지분·경영권 이전, 뱅크런 없음, 예치금·주가 상승과 새 주인 1면 보도가 지급된다.까지 실제 장면으로 결산하는가?",L113869~L113890;L114020~L114037,L113869~L113890;L114020~L114037; predecessor=648화 L112918~L113086: 니켈 투기세력이 손실을 보고 광산·가격안정이 굳어지며 러시아 원유가 동남아 거쳐 수익화된다.; next=649화 L113087~L113249: 폴란드·루마니아 방산·원전 협상을 넓히던 중 SVB의 200억 달러 채권매각을 포착한다,648화 L112918~L113086: 니켈 투기세력이 손실을 보고 광산·가격안정이 굳어지며 러시아 원유가 동남아 거쳐 수익화된다.,649화 L113087~L113249: 폴란드·루마니아 방산·원전 협상을 넓히던 중 SVB의 200억 달러 채권매각을 포착한다,"654화의 지급 ‘SVB 모든 지분·경영권 이전, 뱅크런 없음, 예치금·주가 상승과 새 주인 1면 보도가 지급된다.’은 DCA-N58 소유다. 끝 훅 ‘직거래·전자상거래 유통개혁안을 법·물류·조력기업의 실제 실행체계로 만들 수 있는가?’은 bridge이고 655화 실제 행동은 다음 Arc가 소유한다.",52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
109,DCA-N58B,655,661,DCA-N58+DCA-N59,MERGE_SHIFT,명동 이 상무 처분·엔캐리와 로나 99% 폭락,엔캐리·유럽은행 협상을 거쳐 로나 99% 폭락과 최소 300억 달러 수익까지 지급받는가?,L113869~L114037;L114939~L115074,"L113869~L114037;L114939~L115074; predecessor=654화 L113858~L114028: SVB 모든 지분·경영권 이전, 뱅크런 없음, 예치금·주가 상승과 새 주인 1면 보도가 지급된다.; next=655화 L114029~L114192: 중국에 잡힌 이 상무의 결말을 확인하고 조지의 엔캐리 작전을 승인한다","654화 L113858~L114028: SVB 모든 지분·경영권 이전, 뱅크런 없음, 예치금·주가 상승과 새 주인 1면 보도가 지급된다.",655화 L114029~L114192: 중국에 잡힌 이 상무의 결말을 확인하고 조지의 엔캐리 작전을 승인한다,661화 로나 99% 폭락·최소 300억 달러 수익은 이 Arc climax다. 661 말미 식량 요청은 bridge이며 수출예외 지급은 662화 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
110,DCA-N59,662,662,DCA-N59,SPLIT,김태중의 베트남 식량 수출예외,김태중이 베트남 현장에서 동남아 식량 수출예외와 가격안정을 받아 오는가?,L115074~L115090;L115170~L115328,L115074~L115090;L115170~L115328; predecessor=661화 L115000~L115169: 로나 99% 폭락·85달러→0.003달러·최소 300억 달러 수익과 베릴 복권이 지급된다.; next=662화 L115170~L115328: 김태중이 베트남·동남아 농산물·팜유 수출예외를 확보한다,661화 L115000~L115169: 로나 99% 폭락·85달러→0.003달러·최소 300억 달러 수익과 베릴 복권이 지급된다.,662화 L115170~L115328: 김태중이 베트남·동남아 농산물·팜유 수출예외를 확보한다,662화의 지급 ‘베트남 현장에서 동남아 식량 수출예외와 가격안정을 받는다.’은 DCA-N59 소유다. 끝 훅 ‘김태중이 확보한 동남아 수출예외를 국내 유통·물가안정의 실제 지속성과로 만들 수 있는가?’은 bridge이고 663화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
111,DCA-N59B,663,664,DCA-N59,SPLIT,로봇물류·일본지분과 10만 석 경기장 흥행,로봇물류·일본지분·10만 석 경기장을 유통·스포츠 흥행 기반으로 묶는가?,L115305~L115329;L115466~L115640,L115305~L115329;L115466~L115640; predecessor=662화 L115170~L115328: 베트남 현장에서 동남아 식량 수출예외와 가격안정을 받는다.; next=663화 L115329~L115484: 로봇 물류와 일본 3대 상사 지분 50퍼센트를 활용하고 엔캐리 500억 달러 이익을 전망한다,662화 L115170~L115328: 베트남 현장에서 동남아 식량 수출예외와 가격안정을 받는다.,663화 L115329~L115484: 로봇 물류와 일본 3대 상사 지분 50퍼센트를 활용하고 엔캐리 500억 달러 이익을 전망한다,664화의 지급 ‘태우엔터·MCA 협업과 테일러 스위프트 공연으로 대형시설의 흥행·수익성이 입증된다.’은 DCA-N59B 소유다. 끝 훅 ‘10만 석 경기장과 해외 스포츠 흥행을 반복 가능한 수익·국가브랜드로 굳힐 수 있는가?’은 bridge이고 665화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
112,DCA-N59C,665,668,DCA-N59,SPLIT,바이든·곡물메이저·사우디 증산 협상,바이든·곡물메이저·사우디를 상대로 식량과 증산 거래를 실제 국가협상으로 닫는가?,L115638~L115645;L116274~L116314,L115638~L115645;L116274~L116314; predecessor=664화 L115485~L115640: 태우엔터·MCA 협업과 테일러 스위프트 공연으로 대형시설의 흥행·수익성이 입증된다.; next=665화 L115641~L115809: 빈 살만이 개막축제에 오자 미·사우디 중재 가능성을 흘리고 곡물카르텔의 미국 농업 연맹 공격을 받는다,664화 L115485~L115640: 태우엔터·MCA 협업과 테일러 스위프트 공연으로 대형시설의 흥행·수익성이 입증된다.,665화 L115641~L115809: 빈 살만이 개막축제에 오자 미·사우디 중재 가능성을 흘리고 곡물카르텔의 미국 농업 연맹 공격을 받는다,668화의 지급 ‘미·사우디 증산협상과 곡물메이저의 태우 방해포기·세무조사 수용이 성립된다.’은 DCA-N59C 소유다. 끝 훅 ‘미·사우디 증산합의와 곡물메이저의 방해포기를 실제 공급·가격 변화로 끝까지 집행시킬 수 있는가?’은 bridge이고 669화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
113,DCA-N60,669,672,DCA-N60,SPLIT,로만·프리고진 보안메타버스와 동남아 보급선,로만·프리고진 보안메타버스와 동남아 보급선의 약속을 카르텔의 트럼프선과 태우의 바이든선을 병행관리하는 미국 대선전략이 확정된다.까지 실제 장면으로 결산하는가?,L116948~L116965,L116948~L116965; predecessor=668화 L116147~L116314: 미·사우디 증산협상과 곡물메이저의 태우 방해포기·세무조사 수용이 성립된다.; next=669화 L116315~L116471: 구단 급료와 생활비까지 막힌 로만의 사정을 듣고 제재에 걸리지 않는 지원 방법을 찾아 알려 주겠다고 약속하며 친구로서 연락을 계속한다.,668화 L116147~L116314: 미·사우디 증산협상과 곡물메이저의 태우 방해포기·세무조사 수용이 성립된다.,669화 L116315~L116471: 구단 급료와 생활비까지 막힌 로만의 사정을 듣고 제재에 걸리지 않는 지원 방법을 찾아 알려 주겠다고 약속하며 친구로서 연락을 계속한다.,672화의 지급 ‘카르텔의 트럼프선과 태우의 바이든선을 병행관리하는 미국 대선전략이 확정된다.’은 DCA-N60 소유다. 끝 훅 ‘카르텔의 트럼프선과 태우의 바이든선을 병행해 어느 후보가 이겨도 곡물·원유정책을 통제할 보험을 만들 수 있는가?’은 bridge이고 673화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
114,DCA-N60B,673,675,DCA-N60,SPLIT,사우디 PIF 6000억 달러와 증산·원유숏,"사우디 PIF 6000억 달러와 증산·원유숏의 약속을 사우디 측의 네옴·통신망·해저케이블·행정IT 배정 의사와 비용분담안을 계열사에 전달하고, 하루 25만 배럴 증산 발표와 유가 하락 시작을 확인한다. 세부 합의·정식 계약·수익 실현은 아직 전이다.까지 실제 장면으로 결산하는가?",L116948~L116965,L116948~L116965; predecessor=672화 L116799~L116956: 카르텔의 트럼프선과 태우의 바이든선을 병행관리하는 미국 대선전략이 확정된다.; next=673화 L116957~L117120: 러시아의 노르트스트림 차단 뒤 사우디에서 살만 국왕의 6천억 달러 PIF 위탁 제안을 받는다,672화 L116799~L116956: 카르텔의 트럼프선과 태우의 바이든선을 병행관리하는 미국 대선전략이 확정된다.,673화 L116957~L117120: 러시아의 노르트스트림 차단 뒤 사우디에서 살만 국왕의 6천억 달러 PIF 위탁 제안을 받는다,"675화의 지급 ‘사우디 측의 네옴·통신망·해저케이블·행정IT 배정 의사와 비용분담안을 계열사에 전달하고, 하루 25만 배럴 증산 발표와 유가 하락 시작을 확인한다. 세부 합의·정식 계약·수익 실현은 아직 전이다.’은 DCA-N60B 소유다. 끝 훅 ‘사우디가 맡기기로 한 프로젝트를 이번 주 세부 합의와 정식 계약으로 닫고, 시작된 유가 하락을 실제 수익으로 바꿀 수 있는가?’은 bridge이고 676화 실제 행동은 다음 Arc가 소유한다.",52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
115,DCA-N61,676,679,DCA-N61,SPLIT,코리아 디스카운트 개혁과 1000억 달러 AI 데이터센터,코리아 디스카운트 개혁과 1000억 달러 AI 데이터센터의 약속을 빅테크 동등지분의 1천억 달러 AI 데이터센터 합작이 성립된다.까지 실제 장면으로 결산하는가?,L118103~L118120,"L118103~L118120; predecessor=675화 L117280~L117454: 사우디 측의 네옴·통신망·해저케이블·행정IT 배정 의사와 비용분담안을 계열사에 전달하고, 하루 25만 배럴 증산 발표와 유가 하락 시작을 확인한다. 세부 합의·정식 계약·수익 실현은 아직 전이다.; next=676화 L117455~L117594: 최재석에게 태우 세계 1위·한국 경제 5위와 부산 엑스포 구상을 설명하고, 금융타워 보고서를 이번 주 전달해 경제부처가 검토하도록 요청한다.","675화 L117280~L117454: 사우디 측의 네옴·통신망·해저케이블·행정IT 배정 의사와 비용분담안을 계열사에 전달하고, 하루 25만 배럴 증산 발표와 유가 하락 시작을 확인한다. 세부 합의·정식 계약·수익 실현은 아직 전이다.","676화 L117455~L117594: 최재석에게 태우 세계 1위·한국 경제 5위와 부산 엑스포 구상을 설명하고, 금융타워 보고서를 이번 주 전달해 경제부처가 검토하도록 요청한다.",679화의 지급 ‘빅테크 동등지분의 1천억 달러 AI 데이터센터 합작이 성립된다.’은 DCA-N61 소유다. 끝 훅 ‘몇 시간 만에 모은 1천억 달러 합작을 실제 데이터센터 건설·운영과 장기 반도체·전력수요로 만들 수 있는가?’은 bridge이고 680화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
116,DCA-N61B,680,681,DCA-N61,SPLIT,고체배터리·T-9 파리모터쇼 공개,고체배터리·T-9 파리모터쇼 공개의 약속을 고체배터리·T-9 공개와 세계 완성차의 대규모 공급계약 요청이 발생한다.까지 실제 장면으로 결산하는가?,L118103~L118120,L118103~L118120; predecessor=679화 L117949~L118111: 빅테크 동등지분의 1천억 달러 AI 데이터센터 합작이 성립된다.; next=680화 L118112~L118272: AI 주문 폭증과 고체배터리 완성을 확인하고 파리 모터쇼 공개를 결정한다,679화 L117949~L118111: 빅테크 동등지분의 1천억 달러 AI 데이터센터 합작이 성립된다.,680화 L118112~L118272: AI 주문 폭증과 고체배터리 완성을 확인하고 파리 모터쇼 공개를 결정한다,681화의 지급 ‘고체배터리·T-9 공개와 세계 완성차의 대규모 공급계약 요청이 발생한다.’은 DCA-N61B 소유다. 끝 훅 ‘주가급등 속 N&K 주가조작을 어떻게 시장충격 없이 가지칠지가 열린다.’은 bridge이고 682화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
117,DCA-N62,682,684,DCA-N62,SPLIT,N&K 기술탈취 계약위반·계좌동결과 체포,N&K의 기술탈취선을 계약위반·계좌동결·체포로 시장 충격 없이 제거하는가?,L118446~L118465;L118769~L118956,L118446~L118465;L118769~L118956; predecessor=681화 L118273~L118445: 고체배터리·T-9 공개와 세계 완성차의 대규모 공급계약 요청이 발생한다.; next=682화 L118446~L118599: 태우주가 급등과 계열분리를 검토하다 N&K 주가조작을 포착한다,681화 L118273~L118445: 고체배터리·T-9 공개와 세계 완성차의 대규모 공급계약 요청이 발생한다.,682화 L118446~L118599: 태우주가 급등과 계열분리를 검토하다 N&K 주가조작을 포착한다,684화의 지급 ‘차명계좌가 동결되고 나기연·김남훈이 체포돼 시장충격 없이 N&K가 제거된다.’은 DCA-N62 소유다. 끝 훅 ‘N&K를 시장충격 없이 제거한 직후 안덕환이 외친 '대박'은 어떤 새 건설성과인가?’은 bridge이고 685화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
118,DCA-N62B,685,687,DCA-N62,SPLIT,체코 원전 우선협상과 한아약품 경영권 인수,체코 원전 coda 뒤 한아약품의 지분과 경영권을 실제로 인수하는가?,L118957~L118985;L119400~L119441,"L118957~L118985;L119400~L119441; predecessor=684화 L118769~L118956: 차명계좌가 동결되고 나기연·김남훈이 체포돼 시장충격 없이 N&K가 제거된다.; next=685화 L118957~L119112: 체코 원전 24조 원 우선협상과 현지 공장·데이터센터 계획을 확인하고, 센트리언 확장을 위해 국내 제약 M&A 대상을 찾게 한다.",684화 L118769~L118956: 차명계좌가 동결되고 나기연·김남훈이 체포돼 시장충격 없이 N&K가 제거된다.,"685화 L118957~L119112: 체코 원전 24조 원 우선협상과 현지 공장·데이터센터 계획을 확인하고, 센트리언 확장을 위해 국내 제약 M&A 대상을 찾게 한다.",687화의 지급 ‘한아약품 전체 가족지분이 금융타워로 넘어와 경영권이 확정된다.’은 DCA-N62B 소유다. 끝 훅 ‘러북 무기·식량거래를 갈라놓고 장남카드를 움직일 일이 남는다.’은 bridge이고 688화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
119,DCA-N63,688,688,DCA-N63,SPLIT,러북 무기·식량 거래 차단,러북 무기·식량 거래 차단의 약속을 러북 거래자료와 양쪽을 갈라놓을 언론·방산대체안이 실행된다.까지 실제 장면으로 결산하는가?,L119585~L119602,L119585~L119602; predecessor=687화 L119276~L119441: 한아약품 전체 가족지분이 금융타워로 넘어와 경영권이 확정된다.; next=688화 L119442~L119593: 러시아·북한 무기·식량 거래를 포착하고 언론·한국 방산으로 양쪽을 갈라놓는다,687화 L119276~L119441: 한아약품 전체 가족지분이 금융타워로 넘어와 경영권이 확정된다.,688화 L119442~L119593: 러시아·북한 무기·식량 거래를 포착하고 언론·한국 방산으로 양쪽을 갈라놓는다,688화의 지급 ‘러북 거래자료와 양쪽을 갈라놓을 언론·방산대체안이 실행된다.’은 DCA-N63 소유다. 끝 훅 ‘총리가 된 리강이 장남지원을 계속하고 원화 국제화를 도울지가 남는다.’은 bridge이고 689화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
120,DCA-N63B,689,690,DCA-N63,SPLIT,사우디 원화스와프와 유럽 원화금융,사우디 원화스와프와 유럽 원화금융의 약속을 사우디 원화스와프·원화 원유결제와 유럽 원전·방산 원화금융이 성립된다.까지 실제 장면으로 결산하는가?,L119585~L119602,L119585~L119602; predecessor=688화 L119442~L119593: 러북 거래자료와 양쪽을 갈라놓을 언론·방산대체안이 실행된다.; next=689화 L119594~L119759: 총리가 된 리강의 장남 지원을 확인하고 걸프 스와프·자산으로 원화 국제화를 짠다,688화 L119442~L119593: 러북 거래자료와 양쪽을 갈라놓을 언론·방산대체안이 실행된다.,689화 L119594~L119759: 총리가 된 리강의 장남 지원을 확인하고 걸프 스와프·자산으로 원화 국제화를 짠다,690화의 지급 ‘사우디 원화스와프·원화 원유결제와 유럽 원전·방산 원화금융이 성립된다.’은 DCA-N63B 소유다. 끝 훅 ‘고체배터리 가격장벽·산업스파이를 넘고 동유럽 경제블록을 만들 일이 남는다.’은 bridge이고 691화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
