arc_id,start_sequence,end_sequence,pacing_reading,avg_tension,avg_reward,avg_hook,peak_tension_sequence,peak_tension_label,peak_tension_event,peak_tension_score,peak_reward_sequence,peak_reward_label,peak_reward_event,peak_reward_score,peak_hook_sequence,peak_hook_label,peak_hook_event,peak_hook_score,avg_information,avg_action,avg_relationship,avg_emotion,avg_material_or_status
DCA-N41,463,465,품질문서와 유전·공장 지표를 낮은 톤으로 모아 폭발 전 긴장을 만든다. 확정소유보다 관찰과 포지션에 머무는 준비 Arc다.,6.33,6.33,7.00,463,463,JIS 공개수치와 실험값을 비교해 조작을 확인하고 태우 자동차·항공 계열의 일본산 알루미늄 부품을 비공개로 교체한다.,9,465,465,헤스가 가진 가이아나 펀드 지분을 합쳐 태우 측 70퍼센트 지배를 확인한다. 비트코인·알트코인 매도를 시작하고 이더리움이 8달러에서 200달러 가까이 오른 수익을 점검한 뒤 메타버스를 AI센터 공식사업으로 승인해 채용·특허·기업·VR기기 인수권을 연다.,8,463,463,JIS 공개수치와 실험값을 비교해 조작을 확인하고 태우 자동차·항공 계열의 일본산 알루미늄 부품을 비공개로 교체한다.,8,0.320,0.180,0.163,0.107,0.230
DCA-N41B,466,470,465→466 전환 뒤 공장별 협상을 이어 읽고 470화 대금·임차 결산에서 멈춘다. 471화 일본 품질공격은 상대와 보상통화를 완전히 바꾼다.,7.20,6.20,7.20,469,469,한 부회장이 단독협상처럼 보이게 뜸을 들이고 일본업체들의 유럽진출 욕망을 자극해 공장 전체를 묶어 제시한다.,8,470,470,러시아 공장 임대계약에 서명해 5조 원을 받고 도요타에 2년간 빌려준다. 로만에게 러시아 철수 오해를 설명하고 신규공장 계획을 내세워 시간을 벌자 로만이 크렘린의 오해를 풀겠다고 약속한다.,9,468,468,도박·범죄자금 유입을 추적하며 규제 전 마지막 상승을 기다리고 현재자동차 장경준에게 태우의 러시아 철수 이유와 매입기회를 흘린다.,8,0.248,0.192,0.198,0.096,0.266
DCA-N41C,471,477,문서폭로와 소비자 반응을 충분히 보여 준 뒤 주가숫자는 빠르게 처리한다. 477화 매수기회가 지급되고 도시바 협상으로 바로 이어진다.,8.29,6.71,7.71,472,472,상납을 유지해 운송로를 열어 둔 채 금융타워·해외 연구소·언론을 동원하고 태우·카이·GM의 선제 리콜과 다국가 소송을 발표한다.,10,472,472,상납을 유지해 운송로를 열어 둔 채 금융타워·해외 연구소·언론을 동원하고 태우·카이·GM의 선제 리콜과 다국가 소송을 발표한다.,8,475,475,연구소장에게 회귀 전 결함정보를 주고 수백억 원 시험비에 100억 원을 추가해 일본차 여러 모델을 동시에 분해·충돌시킨다.,9,0.216,0.283,0.169,0.173,0.160
DCA-N41D,478,481,478→481은 협상예고·실사·가격조정·서명이 한 줄로 이어져 제목경계에서 자르지 않는다. 도장과 담보이전이 느린 고중량 결산을 만든다.,7.50,7.00,7.00,480,480,금융타워가 코인 매수세를 더 유인하는 동안 웨스팅하우스의 매년 천문학적 적자를 근거로 사모펀드보다 약간 높은 가격만 제시한다.,8,481,481,"도시바와 도시바메모리·웨스팅하우스를 합계 4조5500억 엔에 인수하는 계약에 당일 서명한다. 잔여지분 45퍼센트를 담보로 2조 엔을 빌려주고, 카메코 지분은 3년에 걸쳐 조용히 모으라고 지시한다.",10,479,479,핀테크은행을 미국측 인수자로 세워 로비하고 3배 오른 유가를 근거로 글로벌 석유사들에 800억~1천억 달러 차익 규모의 매각 미끼를 뿌린다.,8,0.232,0.155,0.240,0.078,0.295
DCA-N42,482,488,482화는 5%·600만 파운드 계산과 지시만 있어 낮은 보상으로 둔다. 488화 35억 달러 채권↔3% 교환과 8%·10% 숫자가 실제 물질봉우리다.,5.71,7.14,7.00,483,483,명동이 타부처 반박설을 흘려 세력을 묶고 금융타워가 숏을 집행하며 동시에 알래스카·북해·가이아나 지분 입찰을 석유사들에 연다.,8,484,484,지분 매각대금을 미국·중국 포지션에 배정하고 비트코인 급락 때 중소거래소 고객을 흡수해 전액인출도 버틸 유동성을 확보한다.,9,483,483,명동이 타부처 반박설을 흘려 세력을 묶고 금융타워가 숏을 집행하며 동시에 알래스카·북해·가이아나 지분 입찰을 석유사들에 연다.,8,0.249,0.173,0.179,0.110,0.290
DCA-N42B,489,495,전쟁관세·채권압박을 쌓은 뒤 495화 말수락에서 보상을 주되 도장으로 과장하지 않는다. 니콜라 폭로 신호가 미완 계약의 여진 위로 올라온다.,7.71,7.14,7.29,494,494,중국의 편을 들라는 제안을 연속 거절하고 미국 공화당의 청나라 채권 법안 속보를 보여 준 뒤 데이비드가 민진당에 채권소각 프로젝트를 제공한다.,9,489,489,트럼프의 호출에 응해 중국 보유채권 20% 이상 매각 가능성을 계산하고 공매도 수익으로 채권을 사겠다고 제안한다.,8,489,489,트럼프의 호출에 응해 중국 보유채권 20% 이상 매각 가능성을 계산하고 공매도 수익으로 채권을 사겠다고 제안한다.,8,0.266,0.177,0.220,0.086,0.251
DCA-N43,496,505,니콜라 증거와 공급량은 빠르게 지급하고 500화 서정준의 가동률 걱정·150% 보증 대화에 오래 머문다. 공장 두 배는 가능성으로 남겨 다음 팬데믹 장비전의 긴장을 살린다.,5.90,6.80,6.70,496,496,후계자 김정권에게 영상의 각도를 돌려 사기방식을 보여 주고 2주 안에 지분을 팔며 새만금 공장·인력을 배치하라는 조건을 건다.,7,496,496,후계자 김정권에게 영상의 각도를 돌려 사기방식을 보여 주고 2주 안에 지분을 팔며 새만금 공장·인력을 배치하라는 조건을 건다.,8,497,497,대화와 공동연구를 시작하며 일본의 10월 수출제한을 설명하고 중국의 희토류 위협에는 베트남 인맥을 가진 할아버지에게 도움을 청한다.,7,0.260,0.174,0.252,0.108,0.206
DCA-N43B,506,510,증거 수천 건과 배신자의 얼굴을 길게 보여 주고 법 제정·리강 양보를 뒤에서 지급한다. 공격자를 추상 국가로 지우지 않고 내부고발자의 위험에 체류한다.,8.20,6.60,7.40,507,507,이영한이 탑테크 양진태를 압박해 내부고발자로 돌린다,9,508,508,암호화폐 자금흐름과 5조 원 피해를 공개해 12월 7일 기술보호법 통과를 밀어붙인다,8,506,506,천민정의 디스플레이 기술유출 증거와 관련자 명단을 이영한에게 넘긴다.,8,0.240,0.276,0.220,0.136,0.128
DCA-N43C,511,512,공식협상과 금액을 단 두 화에 강하게 압축한다. 512화 인수도장이 큰 보상이고 513화 해외팹 회의가 완전히 다른 공급망 질문을 연다.,6.00,6.50,6.50,511,511,카길·와이자타 앞에서 연 1천억 달러 곡물 구매와 농장 임차를 제안한다,7,512,512,"이미 인수한 비테라를 태우곡물회사로 바꾸고 곡물 메이저들과 연 1천억 달러 구매·농장임차 협상을 진행한다. 일부 5년 계약은 순차 체결되고 아마존 창고 임대에도 합의하지만, 다음 반기 500억 달러·내년 1천억 달러는 집행계획이다.",8,511,511,카길·와이자타 앞에서 연 1천억 달러 곡물 구매와 농장 임차를 제안한다,7,0.245,0.150,0.230,0.070,0.305
DCA-N43D,513,516,513~514화는 장비·재고·곡물 위험을 설계하고 515화 제안에서 보상을 억제한다. 516화 보름 뒤 계약·지출 회고와 통신명령이 확실한 결산을 준다.,5.75,6.50,6.75,514,514,"공장별 생산품을 배분한 뒤 베트남 공장 대가로 곡물계약·대규모 농지사용권, 인도 공장 대가로 밀을 요구하기로 한다. 1,000억 달러 곡물 비판을 버티며 ASML이 중국 대신 태우와 구형장비 계약을 맺을지 우려하자 김민재가 직접 협상하고 귀로 베트남·인도 도장을 받겠다고 정한다.",7,516,516,베트남 대규모 구형 반도체 단지를 계획하고 이미 체결한 ASML 계약으로 중국행 구형장비 일부를 확보한다. 단지 보상으로 곡물·농지를 요구하고 김태중이 푹 수상 자리를 마련하기로 한다. 보름 뒤 네덜란드 5년 계약 10조 원 이상과 베트남·인도 수배 지출을 회고한 뒤 28GHz·스타링크 구축을 지시한다.,8,513,513,인도·베트남 팹을 중국 구형반도체 시장 최소 50% 대체 규모로 잡고 중국 업체보다 먼저 구형 노광장비 공급계약을 맺도록 지시한다. 2년 내 제재·차량용 공급부족을 설명하고 악성재고는 본사가 매입 책임지며 HBM 5배 증설·한국 GPU 부지를 배치한다.,7,0.312,0.218,0.170,0.062,0.238
DCA-N44,517,540,24화를 한 전쟁으로 유지하되 소재 실험·금융압박·오염수 여론의 봉우리를 분리한다. 같은 일본 상대라도 실험실·거래실·외교무대의 체류비중을 달리한다.,7.33,6.42,7.50,528,528,일본의 3개 소재 수출규제에 6개월 재고와 국산화 기술을 내보이고 정부 규제완화를 얻는다,9,532,532,불화수소 공급을 70퍼센트에서 100퍼센트로 끌어올리고 일본의 규제 철회를 받아낸다,9,526,526,G20 직후 트럼프의 방한과 반도체도시 방문을 일본 공매도 개시 신호로 삼는다,9,0.248,0.241,0.183,0.120,0.208
DCA-N45,541,555,이상 폐렴 정보는 낮게 시작해 진단·물자 준비를 촘촘히 쌓고 크루즈 구조에서 감정·행동봉우리를 만든다. 사망자 숫자보다 승객·의료진 반응에 머문다.,8.53,6.93,7.60,541,541,태우병원 이동수 의료진이 우한에서 신종 코로나를 탐지하고 센트리언이 검사키트·백신·치료제 연구에 착수한다.,9,555,555,다이아 프린스 승객 약 300명을 한국으로 옮겨 하루 안에 전원 검사한다. 미국인 16명은 양성으로 태우 음압병동에서 치료하고 한국인은 확진자 0명을 확인한다. 최재석에게 거리두기와 석 달 안 좋은 소식을 약속하지만 백신은 미완성이다.,9,541,541,태우병원 이동수 의료진이 우한에서 신종 코로나를 탐지하고 센트리언이 검사키트·백신·치료제 연구에 착수한다.,9,0.229,0.287,0.188,0.183,0.112
DCA-N45B,556,565,폭락 당일 거래는 행동·물질비중이 높고 후보 면담은 관계·정보로 속도를 늦춘다. 560→561 미국 출장 결정을 끊지 않아 시험과 실행을 같은 약속으로 읽는다.,7.50,6.90,7.40,556,556,AI가 예측한 3월 폭락에 금융타워·국민연금 포지션을 맞춘다,9,565,565,"바이든에게 백신효과가 확인되면 의무접종을 추진하겠다는 답을 받고 지원을 두 배로 늘린다. FDA가 정식심사와 이달 승인 가능성을 발표하자 센트리언 주가가 하루 약 10퍼센트 오르고, 공매도를 청산해 수십조 원 수익을 주식에 재투자한다. 마지막에는 주중 사장단회의를 지시한다.",9,556,556,AI가 예측한 3월 폭락에 금융타워·국민연금 포지션을 맞춘다,8,0.244,0.241,0.191,0.153,0.171
DCA-N46,566,570,사장단 회의에서 숨을 고른 뒤 일본 자산과 FDA 승인이라는 두 보상을 나눠 준다. 570화 결산 다음 마이너스 유가가 즉시 새 외교자원으로 바뀐다.,7.00,6.20,7.20,568,568,의료붕괴 일본의 비밀 지원요청을 받고 협상 장소를 호주로 정해 일본 측과 만나기로 한다.,8,570,570,일본이 조건을 수락하고 센트리언 백신의 FDA 승인이 도착한다,9,569,569,멜버른에서 손정우·다이키요에게 방역물자와 20조 엔 자산 인수를 제안한다,8,0.220,0.140,0.302,0.132,0.206
DCA-N47,571,577,유가 숫자는 빠르게 처리하고 백신 배분·시장조건 협상에 정보와 관계시간을 쓴다. 577화 국가접근권 지급 뒤 게임스핀 개미군단으로 무대가 대중시장으로 내려온다.,7.14,7.14,6.71,576,576,EU의 백신 생산·수출 봉쇄를 아프리카연합 규탄과 충전·독점규제 협상으로 되받는다,9,572,572,4월 20일 WTI 마이너스 가격에서 원유를 받아 돈까지 받고 곧바로 롱으로 전환한다,9,571,571,한국·FDA 백신 승인을 발표하고 일본에도 물자를 공급한다,7,0.233,0.220,0.220,0.119,0.209
DCA-N48,578,583,게시판·매수행렬·가격급등을 짧은 컷으로 쌓아 행동리듬을 높인다. 베릴의 감정과 헤지펀드 항복장면에서 속도를 늦춰 대중복수의 맛을 준다.,6.50,6.50,7.00,581,581,헬리콥터 머니 속 베릴 100만 구독자와 게임스핀 8달러 상승을 확인한다,8,583,583,게임스핀 주가가 500달러를 찍은 뒤 약 370달러로 내려오고 한국 개인투자자 약 1억 달러가 참여한 것을 확인한다. 헤지펀드 손실은 확인분만 100억 달러를 넘고 최대 700억 달러 추정이 나오며 한 곳이 공개사과한다. 베릴 구독자는 300만 명이 된다.,9,581,581,헬리콥터 머니 속 베릴 100만 구독자와 게임스핀 8달러 상승을 확인한다,8,0.208,0.252,0.202,0.147,0.192
DCA-N49,584,585,두 화의 규제협상과 인수도장을 빠르고 무겁게 처리한다. 585화 소유권 봉우리 뒤 586화 충전표준·데이터센터로 기술범위를 넓힌다.,7.00,6.50,7.00,584,584,미국 칩수출 제한을 인텔 NAND 인수기회로 판단하고 바이든의 중국 팹 유예와 인텔 가격협상을 위해 미국 방문을 정한다.,7,585,585,바이든에게 중국 팹 제재 4년 유예를 구두로 얻고 인텔 CEO와 NAND 사업부 75억 달러 매입가격을 악수로 합의한다. 정식 계약·대금지급·소유권 이전은 아직 없다.,8,584,584,미국 칩수출 제한을 인텔 NAND 인수기회로 판단하고 바이든의 중국 팹 유예와 인텔 가격협상을 위해 미국 방문을 정한다.,7,0.290,0.150,0.220,0.075,0.265
DCA-N49B,586,590,규격·전력·장비 정보를 압축하되 실제 충전·서버 배치 장면을 붙여 추상을 피한다. 590화 기반설계 뒤 GDC 국제무대로 관객을 바꾼다.,6.00,6.00,7.20,589,589,CIA의 북한 백신 100만~2천만 회분 요청과 에이든의 침묵을 받아 의도를 의심하고 지원 여부를 보류한다.,8,590,590,"이준수 라인이 중국 팹에서 빼낼 수 있는 장비 20여 대를 추리고, 이미 7대를 팔아 2천만 달러가 넘는 대금을 받은 뒤 그날 4대를 선적한다. 판즈 측 담당자도 합류해 기술자와 장비를 더 모으지만 해외 팹 설치·가동은 아직 없다.",8,589,589,CIA의 북한 백신 100만~2천만 회분 요청과 에이든의 침묵을 받아 의도를 의심하고 지원 여부를 보류한다.,8,0.296,0.200,0.196,0.100,0.208
DCA-N50,591,595,국제행사 반응과 개표를 짧게 교차한 뒤 연구투자 숫자에 물질보상을 준다. 595화 기술결산 뒤 SMA 환자 장면이 거대외교를 개인생존 문제로 좁힌다.,5.40,7.80,6.80,592,592,유럽·미국·한국 기업을 GDC로 묶고 칩·배터리·충전망을 조건부 공급한다,7,593,593,G7 화상회의에서 한국·호주를 포함한 G7+를 만들고 변이백신을 추가 카드로 낸다,9,592,592,유럽·미국·한국 기업을 GDC로 묶고 칩·배터리·충전망을 조건부 공급한다,8,0.236,0.112,0.272,0.152,0.228
DCA-N50B,596,598,환자와 가족 반응에 감정체류를 주고 로비문건은 압축한다. 598화 말합의는 중간 보상으로 닫아 599화 미국 정권이양보다 과장하지 않는다.,8.00,6.00,7.00,597,597,SNS·환자 가족 여론으로 제약협회를 역풍에 몰아넣자 협회장이 한국 방문과 센트리언 정회원 제안을 결정한다.,9,598,598,스티븐과 미 제약협회 정회원 조건을 협상해 SMA 무료 희귀질환 사업의 잔여 9억 달러 중 30퍼센트인 2억7천만 달러를 협회가 부담하게 한다. 백신공장·아시아 생산권까지 묶어 이틀 뒤 실무진이 예비계약을 마치지만 세부조건과 최종서명은 남는다.,7,596,596,미 제약로비의 특허강탈 위협에 SMA 치료제 무료 공급으로 여론전을 건다,7,0.213,0.213,0.230,0.197,0.147
DCA-N51,599,600,선거결과와 트럼프 분열은 빠르게 확인하고 바이든에게 내미는 금융·방산 조건에서 정보체류를 늘린다. 600화는 합의가 아닌 공식 제안의 봉우리다.,8.50,6.50,7.50,599,599,바이든의 58대42 승리를 확인하고 트럼프의 분열·폭주를 달랜다,9,599,599,바이든의 58대42 승리를 확인하고 트럼프의 분열·폭주를 달랜다,7,600,600,"바이든 당선인에게 기존 태우 사업과 가이아나 사업의 지속·확대, 환경조건 아래 알래스카·가이아나 사업 유지, 가이아나의 한국산 무기구매를 막지 않겠다는 답을 받는다. 데이비드에게 유전지분을 담보로 한 장기 100억 달러 대출 협상을 맡기고 중국 팹·러우전쟁 정보망을 점검하지만 대출·무기계약은 아직 없다.",8,0.240,0.125,0.345,0.165,0.125
DCA-N51B,601,603,연구성과를 먼저 보여 기술보상을 주고 지분구조는 협상표로 압축한다. 603화 미서명 상태에서 북한 해킹이 침입해 행동리듬을 급히 올린다.,5.00,6.67,7.00,602,602,"현재 장 회장에게 가이아나 전차수출 지원과 원전 동맹을 제안하고, 가이아나 계약이 성사되면 적극 돕겠다는 조건부 약속을 얻는다.",6,601,601,천민정의 AI·장비 성과를 확인하고 SMR을 밀며 차량용칩 위기 뒤를 준비한다,8,601,601,천민정의 AI·장비 성과를 확인하고 SMR을 밀며 차량용칩 위기 뒤를 준비한다,7,0.250,0.123,0.213,0.083,0.330
DCA-N51C,604,605,"해킹 탐지·차단은 짧고 날카로운 행동봉우리, 후반 석탄·QUAD 회의는 정보압박이다. 다음 화 순방을 미리 특정하지 않고 비축질문만 남긴다.",8.50,6.00,8.00,604,604,암호화폐 거품 단속을 준비하던 중 북한의 센트리언 핵심표적 해킹을 포착한다,9,605,605,"AI 방어가 센트리언 해킹을 막고 6천 대 좀비PC·북한 암호·반체제 인사명단·비트코인 경로를 잡아낸다. 중국의 호주산 석탄 금지에서 전력난을 읽어 몽골 증산·비축을 지시하지만 실제 물량은 없고, 마지막에는 QUAD 참여압박의 부담을 확인한다.",8,604,604,암호화폐 거품 단속을 준비하던 중 북한의 센트리언 핵심표적 해킹을 포착한다,8,0.290,0.270,0.100,0.190,0.150
DCA-N51D,606,608,606화 저장고·출장분담은 준비로 낮게 두고 607~608화 정상·장관 협상에서 관계와 물질보상을 키운다. 합의 뒤 베트남 은행 의혹이 어두운 여진으로 들어온다.,6.33,6.67,7.00,607,607,모리슨에게 중국이 막은 호주 석탄을 태우가 사들이는 장기계약을 제안한다,7,608,608,"가이아나 정부와 100억 달러 국채계약을 체결해 유전·인프라 지분조건을 확보하고, 호주와는 석탄 장기계약을 맺어 부산·인천으로 보내기로 한다. 올해 1억 달러·내년 10억 달러 이상 물량은 계약됐지만 세부 무기목록과 몽골 비축은 후속이다.",9,606,606,최재석과 동해 고갈가스전을 LNG 저장고로 전환하고 호주·가이아나 순방을 정한다,7,0.220,0.153,0.267,0.087,0.273
DCA-N51E,609,610,609화 의심·일주일 조사계획에서 긴장을 만들고 610화 보고서 숫자와 정부반응을 지급한다. 현금창고·구속을 당겨 쓰지 않아 다음 첫 장면의 보상공간을 남긴다.,7.50,5.50,7.50,610,610,"가이아나 30억 달러 군수계약과 스테이블코인 공개공격 준비를 확인한 뒤, 40조 원 불법대출·10조 원 비자금 보고서를 터뜨려 베트남 정부가 주동자 처리에 합의하게 한다.",8,610,610,"가이아나 30억 달러 군수계약과 스테이블코인 공개공격 준비를 확인한 뒤, 40조 원 불법대출·10조 원 비자금 보고서를 터뜨려 베트남 정부가 주동자 처리에 합의하게 한다.",7,610,610,"가이아나 30억 달러 군수계약과 스테이블코인 공개공격 준비를 확인한 뒤, 40조 원 불법대출·10조 원 비자금 보고서를 터뜨려 베트남 정부가 주동자 처리에 합의하게 한다.",8,0.285,0.205,0.255,0.130,0.125
DCA-N52,611,614,611화 베트남 결산은 진입배경으로 짧게 처리하고 부산 축구장·표 모으기·17표 발표에 관계체류를 준다. 지분대가 주식은 조용한 물질여진이다.,6.75,7.50,7.25,613,613,국제 축구인맥·추가 구단·중계권 60억에서 300억 인상 공약을 대의원들에게 제시해 우호 반응을 끌어낸다.,8,611,611,"즈엉 미아인의 구속과 정유회사 인수 보고를 확인한 뒤, 귀국한 김태중과 부산 축구장에서 경기를 본다",9,613,613,국제 축구인맥·추가 구단·중계권 60억에서 300억 인상 공약을 대의원들에게 제시해 우호 반응을 끌어낸다.,8,0.185,0.192,0.315,0.150,0.158
DCA-N53,615,618,정상외교 조건은 압축하고 일본 차량칩 부족·중국 백신실패라는 현장압박을 보여 준다. 618화 시장권리와 공매도 실행은 큰 계획보상이지 아직 수익결산은 아니다.,7.25,7.75,7.25,617,617,센트리언 공장 철거 엄포와 델타 실패로 중국을 다시 협상장에 세운다,8,616,616,르네사스 화재 뒤 일본 완성차에 칩을 주되 T충전망·EV 10년 계약을 묶는다,9,616,616,르네사스 화재 뒤 일본 완성차에 칩을 주되 T충전망·EV 10년 계약을 묶는다,8,0.252,0.165,0.235,0.095,0.252
DCA-N53B,619,620,619화 구조행동이 가장 길고 620화 통항권은 짧은 보상이다. 후반 로나 표적은 아직 결산하지 않고 세계 폭우·석탄난으로 다음 압박을 넘긴다.,8.00,7.00,8.00,619,619,수에즈 좌초 소식을 받자 태우 선박을 우회시키고 중장비·예인선을 투입해 자비로 운하 구조작업을 시작한다.,8,620,620,"수에즈 운하를 나흘 만에 열어 우선 통항권·확장공사 약속을 받고, 로나 스테이블코인의 구조적 허점을 공개한다",9,619,619,수에즈 좌초 소식을 받자 태우 선박을 우회시키고 중장비·예인선을 투입해 자비로 운하 구조작업을 시작한다.,8,0.225,0.315,0.160,0.145,0.155
DCA-N54,621,625,"중국 폭우와 탄광침수는 정보압박, 기업농 논쟁은 관계비용, 제주 무인주행은 행동보상으로 리본이 교대한다. 625화 배신자 실명은 남겨 둔다.",6.40,7.20,7.00,625,625,"제주 무인주행 15일 실증에서 시스템 오류 사고 0건과 음주운전자 7명 적발, 관광객 30퍼센트·외국인 15퍼센트 증가를 확인한다. 당원 3천여 명을 훑어 봉우리파 관련자 이름을 추리고 강 대위에게 수사를 맡기지만 배신 증거는 아직 없다.",8,623,623,명동 투자금을 꼭대기 전에 회수하고 일본 슈퍼앱·레벨5 자율차·국내 평야 매입을 점검한다,8,621,621,중국 폭우·폭염·탄광침수로 석탄난이 오자 비축물량과 해운을 가동한다,7,0.262,0.200,0.182,0.104,0.252
DCA-N54B,626,630,"626화 공개 정치정리는 빠르게, 연변 돈줄과 장남 정보는 은밀하게 오래 읽힌다. 630화 조지 배치가 다음 리튬·전쟁시장으로 연결되는 낮은 훅이다.",7.60,6.80,7.20,626,626,유석훈에게 배신 증거를 넘겨 국민경제당을 정리하고 북한 장남 정보는 내부처리만 지시한다,8,629,629,에버그란데 주가를 띄운 뒤 공매도 수익을 거두고 연변 돈주로 장남을 지원한다,8,628,628,미국 허리케인으로 오른 유가에 크게 롱하고 에버그란데 공격세력과 손잡는다,8,0.226,0.226,0.228,0.118,0.202
DCA-N55,631,633,러시아 침공정보·에너지 포지션은 빠르게 지나가고 광산탈환 현장에 행동체류를 준다. 지분 5%보다 민간피해·제재거리 유지가 여진을 만든다.,8.00,6.67,7.33,632,632,말리 쿠데타가 리튬광산을 빼앗자 MBS·로만을 통해 바그너를 투입한다,9,633,633,2천 명이 넘는 PMC가 말리 반군을 물러나게 하고 광산은 다음 날 재가동·일주일 안 정상화를 예정한다. 말리 정부가 리튬광산 지분 5퍼센트를 더 주겠다고 약속하자 김민재는 진행을 받아들이지만 법적 지분이전은 아직 없다.,8,631,631,리강에게 러시아의 3월 침공 정보를 확인하고 금융타워 자본 절반을 에너지에 건다,8,0.217,0.307,0.180,0.130,0.167
DCA-N55B,634,636,"외교판단은 정보 중심으로 짧게, 기업농 반발과 28GHz 비용은 생활·물질압박으로 길게 둔다. 즉시 이익보다 유지결정이 보상인 숨고르기 Arc다.",7.00,7.00,6.33,635,635,이 상무의 CNC가 북한으로 흘러가는 것을 허용하고 기업농 법안을 통과시킨다,8,635,635,이 상무의 CNC가 북한으로 흘러가는 것을 허용하고 기업농 법안을 통과시킨다,8,635,635,이 상무의 CNC가 북한으로 흘러가는 것을 허용하고 기업농 법안을 통과시킨다,7,0.270,0.193,0.200,0.157,0.180
DCA-N56,637,641,637화 조손 대화와 구단 선물에 감정체류를 주고 선수협상·계약은 경기처럼 속도를 높인다. 641화 외교선 지급 뒤 연변 위조지폐 장면이 분위기를 급랭시킨다.,5.40,7.20,7.00,640,640,연준 금리인상·크레디트스위스·암호화폐 위험을 점검하고 홀랜드 고액계약을 감수한다.,7,637,637,김태중이 손자의 과부하를 걱정하자 EPL 리즈 구단을 선물하겠다고 한다,8,637,637,김태중이 손자의 과부하를 걱정하자 EPL 리즈 구단을 선물하겠다고 한다,7,0.210,0.142,0.304,0.158,0.186
DCA-N56B,642,643,642화는 이 상무가 상황을 이해하지 못한 정지화면으로 끝내 보상을 유예한다. 643화 초 복수 영수증을 밀도 높게 지급한 뒤 러시아 침공으로 세계위기 리듬을 덮어쓴다.,9.00,6.50,8.00,643,643,"이영한에게서 조작 감별기와 내부자 배신, 이 상무의 비트코인 계좌 전액 탈취, 리규철·북한 해킹세력의 장남 귀속, CNC와 비자금이 장남에게 넘어갔다는 보고를 받는다. 베이징올림픽 폐막 직후 러시아 침공이 시작되자 유가·전황·SNS 정보와 금융타워 포지션을 실시간 점검한다.",10,643,643,"이영한에게서 조작 감별기와 내부자 배신, 이 상무의 비트코인 계좌 전액 탈취, 리규철·북한 해킹세력의 장남 귀속, CNC와 비자금이 장남에게 넘어갔다는 보고를 받는다. 베이징올림픽 폐막 직후 러시아 침공이 시작되자 유가·전황·SNS 정보와 금융타워 포지션을 실시간 점검한다.",8,643,643,"이영한에게서 조작 감별기와 내부자 배신, 이 상무의 비트코인 계좌 전액 탈취, 리규철·북한 해킹세력의 장남 귀속, CNC와 비자금이 장남에게 넘어갔다는 보고를 받는다. 베이징올림픽 폐막 직후 러시아 침공이 시작되자 유가·전황·SNS 정보와 금융타워 포지션을 실시간 점검한다.",9,0.190,0.300,0.220,0.190,0.100
DCA-N57,644,645,643화 후반 침공은 진입배경이고 644화부터 정보판독·우회군수 지시가 주 행동이다. 645화 패키지 설계 뒤 니켈 마진콜로 목표가 선명하게 갈린다.,7.50,5.50,7.00,644,644,"천민정의 비밀 게임·플랫폼으로 친우크라이나 여론을 만들고, 직접지원 제약을 들은 뒤 최재석에게 쓸 수 있는 여러 우회방법이 있다고 알린다.",8,645,645,"대통령이 러우전쟁 대응과 미국·유럽 연결역할을 김민재에게 맡긴다. 김민재는 미국의 재고보충 판매, 유럽의 방산·원전·물류·식량 패키지를 설계하고 데이비드에게 백악관 접촉을 지시하지만 승인·수출·계약은 아직 없다.",6,644,644,"천민정의 비밀 게임·플랫폼으로 친우크라이나 여론을 만들고, 직접지원 제약을 들은 뒤 최재석에게 쓸 수 있는 여러 우회방법이 있다고 알린다.",7,0.265,0.200,0.280,0.115,0.140
DCA-N57B,646,648,646화 마진콜 숫자와 광산요구에 긴장을 집중하고 647~648화 보증·양도·가격안정을 순차 지급한다. 다음 SVB 채권매각은 다른 금융위기의 차가운 신호다.,8.00,6.67,7.33,647,647,"시안의 니켈광산 양도와 200억 달러 지급보증에 합의하고, LME에 마진콜 무기한 유예를 요청한다.",9,648,648,"니켈 마진콜을 무기한 유예시키고 가격이 내려가는 동안 금융타워의 숏 포지션을 유지한다. 창산에 200억 달러 보증을 서지만 실제 현금은 나가지 않고, 한 부회장·데이비드의 동유럽 일정과 동남아를 거친 러시아 에너지 전략을 점검한다.",8,646,646,니켈 공매도 마진콜에 몰린 창산 시안을 만나 구제조건을 묻고 현금 대신 인도네시아 니켈광산을 요구한다.,8,0.210,0.250,0.203,0.100,0.237
DCA-N58,649,654,649화 200억 달러 채권매각 탐지에서 긴장을 시작해 규제·계약을 쌓고 654화 소유권·시장반응을 큰 물질봉우리로 준다. 뒤 유통개혁은 다음 관계전의 짧은 여진이다.,6.33,6.33,7.17,650,650,다이아몬드의 보고로 SVB·연쇄은행 실패를 금융타워 통합 기회로 정한다,8,652,652,미 국채를 보유하고 유동성을 책임지는 조건으로 SVB를 받고 400억 달러 원전사업 약속을 얻는다,9,649,649,폴란드·루마니아 방산·원전 협상을 넓히던 중 SVB의 200억 달러 채권매각을 포착한다,8,0.245,0.125,0.250,0.113,0.267
